soilcode;soiltype;nblayer;p0;ru;soildepth
AYR;NA;6;0.5;100;200
BVI;NA;6;0.5;100;100
BX;NA;4;0.7;100;100
CHIREDZI;NA;13;0.5;100;140
COP2;NA;5;0.7;100;100
COP4;NA;5;0.7;100;100
CTC04;latosol;6;1;1;100
GODET;NA;6;0.5;100;100
HOUMA;NA;4;0.5;100;100
INGHAM;NA;7;0.5;100;180
KOMATI;NA;5;0.5;100;85
LAMERCY;NA;10;0.5;100;165
LBIR100;Ferralitique;1;0.5;100;100
LPSE;NA;5;0.7;100;100
mact03mono;NA;1;0.85;150;115
mactAB20mono;NA;1;1;195;120
PIRACI;NA;10;0.5;100;165
rbver1;vertisol;1;0.655;145;100
RU200;NA;1;0.5;200;100
SANCARLOS;NA;3;0.5;100;100
STJEAN;NA;6;0.5;100;100
TIR2;NA;5;0.7;100;100
RU100_100;NA;1;0.5;100;150
RU100_80;NA;1;0.5;100;150
