,codtrait,id_bassin,datesimul,nomplante,dmbaer,dmstm,dmsug,etm,etp,etr,irdose,jat,nage,pari,rr,rg,sdj,sug_stm,tmo,tn,tx,yldcan,lai,ei,kcp,stmo,stmot,swdf1,swdf2,swdef,mst,swdfpart1,trp,runoff,srunoff,runofft,srunofft,par,spar,spari,sparit,drain,sdrain,sdraint,sddbla,sddblat,setp,setm,setr,setpt,setmt,setrt,dmrac,tmp,strpt,strp,stmp,stmpt,stock,stockfr,stockm,htvd,spr,stockevap,swdefm,swdf1m,swdf2m,swdeft,swdf1t,swdf2t,tableclimat,id_session
1,1,1,2017-12-04,R570,0,0,0,0.27428571428571,4.32,0.27428571428571,0,0,1,0,0.0,19.81,13.5,0,25.5,21.0,30.0,0,0,0,0,25.5,0,1,1,0.0037619047619048,0,1.165,0,0,0,0,0,9.905,9.905,0,0,0,0,0,13.5,0,4.32,0.27428571428571,0.27428571428571,0,0,0,0,0,0,0,0,0,29.725714285714,0.22571428571429,2.2257142857143,0,0,9.7257142857143,1.0278428311215E-5,0.0027322404371585,0.0027322404371585,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
2,1,1,2017-12-05,R570,0,0,0,4.12,4.12,4.12,15,0,2,0,0.0,19.2,26.3,0,24.8,20.5,29.1,0,0,0,0,50.3,0,1,1,0.001,0,1.144,0,0,0,0,0,9.6,19.505,0,0,0,0,0,26.3,0,8.44,4.3942857142857,4.3942857142857,0,0,0,0,0,0,0,0,0,40.605714285714,0,13.105714285714,0,0,9.7257142857143,1.3010668748374E-5,0.0054644808743169,0.0054644808743169,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
3,1,1,2017-12-06,R570,0,0,0,3.72,3.72,3.72,0,0,3,0,0.4,17.58,38.2,0,23.9,20.4,27.4,0,0,0,0,74.2,0,1,1,0.001,0,1.117,0,0,0,0,0,8.79,28.295,0,0,0,0,0,38.2,0,12.16,8.1142857142857,8.1142857142857,0,0,0,0,0,0,0,0,0,37.285714285714,0,9.7857142857143,0.345,0.4,9.7257142857143,1.5742909185532E-5,0.0081967213114754,0.0081967213114754,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
4,1,1,2017-12-07,R570,0,0,0,5.02,5.02,5.02,15,0,4,0,0.1,25.75,50.3,0,24.1,20.0,28.2,0,0,0,0,98.3,0,1,1,0.001,0,1.123,0,0,0,0,0,12.875,41.17,0,0,0,0,0,50.3,0,17.18,13.134285714286,13.134285714286,0,0,0,0,0,0,0,0,0,47.365714285714,0,19.865714285714,0.7,0.5,9.7257142857143,1.8475149622691E-5,0.010928961748634,0.010928961748634,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
5,1,1,2017-12-08,R570,0,0,0,4.92,4.92,4.92,0,0,5,0,0.0,24.48,62.65,0,24.35,20.2,28.5,0,0,0,0,122.65,0,1,1,0.001,0,1.1305,0,0,0,0,0,12.24,53.41,0,0,0,0,0,62.65,0,22.1,18.054285714286,18.054285714286,0,0,0,0,0,0,0,0,0,42.445714285714,0,14.945714285714,1.0675,0.5,9.7257142857143,2.1207390059849E-5,0.013661202185792,0.013661202185792,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
6,1,1,2017-12-09,R570,0,0,0,3.32,3.32,3.32,15,0,6,0,3.7,14.46,74.95,0,24.3,20.3,28.3,0,0,0,0,146.95,0,1,1,0.056725714285714,0,1.129,0,0.028,0.028,0,0,7.23,60.64,0,0,1.1177142857143,1.1177142857143,0,74.95,0,25.42,21.374285714286,21.374285714286,0,0,0,0,0,0,0,0,0,56.68,3.4035428571429,30.297714285714,1.4325,4.2,9.7257142857143,0.00017619568045798,0.016393442622951,0.016393442622951,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
7,1,1,2017-12-10,R570,0,0,0,4.22,4.22,4.22,0,0,7,0,0.0,20.49,87.25,0,24.3,20.1,28.5,0,0,0,0,171.25,0,1,1,0.030659047619048,0,1.129,0,0,0.028,0,0,10.245,70.885,0,0,0,1.1177142857143,0,87.25,0,29.64,25.594285714286,25.594285714286,0,0,0,0,0,0,0,0,0,52.46,1.8395428571429,26.077714285714,1.7975,4.2,9.7257142857143,0.0002599635701275,0.019125683060109,0.019125683060109,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
8,1,1,2017-12-11,R570,0.063280910308737,0,0,5.22,5.22,5.22,15,0,8,0.032987715463896,0.0,24.92,100.8,0,25.55,20.3,30.8,0,0.0055,0.0026474892025599,0,196.8,0,1,1,0.049925714285714,0.10043810735146,1.1665,0,0,0.028,0,0,12.46,83.345,0.032987715463896,0,7.46,8.5777142857143,0,100.8,0,34.86,30.814285714286,30.814285714286,0,0,0,0.010043810735146,0,0,0,0,0,54.78,2.9955428571429,35.857714285714,2.225,4.2,9.7257142857143,0.00039637262555295,0.021857923497268,0.021857923497268,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
9,1,1,2017-12-12,R570,0.11495516704851,0,0,4.1912251223818,4.02,4.0308535634606,0,0,9,0.027259895072554,0.0,18.81,113.7,0,24.9,21.4,28.4,0,0.0060221073494691,0.0028984471103194,0.044958314025328,221.7,0,1,1,0.05234482156137,0.18244919432192,1.147,0.020360863460649,0,0.028,0,0,9.405,92.75,0.06024761053645,0,0,8.5777142857143,0,113.7,0,38.88,35.005510836668,34.845139277746,0,0,0,0.018244919432192,0.18073242238182,0,0.020360863460649,0.18073242238182,0,50.749146436539,3.1406892936822,31.826860722254,2.62,4.2,9.7257142857143,0.00053939126369877,0.024590163934426,0.024590163934426,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
10,1,1,2017-12-13,R570,0.20164871708466,0,0,6.0787243200002,5.82,5.834842057957,15,0,10,0.045044614285753,0.0,29.03,128.15,0,26.45,21.6,31.3,0,0.0064484233699924,0.0031033147975028,0.047043856675765,248.15,0,1,1,0.058842168108229,0.32002404001843,1.1935,0.029912983809758,0,0.028,0,0,14.515,107.265,0.1052922248222,0,5.7491464365394,14.326860722254,0,128.15,0,44.7,41.084235156668,40.679981335703,0,0,0,0.032002404001843,0.27379524585295,0,0.050273847270407,0.45452766823477,0,54.165157942043,3.5305300864937,40.992018664297,3.0925,4.2,9.7257142857143,0.00070016221481415,0.027322404371585,0.027322404371585,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
11,1,1,2017-12-14,R570,0.28410337818713,0,0,5.355047548186,5.12,5.1317567273221,0,0,11,0.042896496358543,0.6,24.89,142.7,0,26.55,22.6,30.5,0,0.0071635688898739,0.0034468860071147,0.048680546304167,274.7,0,1,1,0.05311078342562,0.45085894936897,1.1965,0.025953576213524,0,0.028,0,0,12.445,119.71,0.14818872118075,0,0,14.326860722254,0,142.7,0,49.82,46.439282704854,45.811738063025,0,0,0,0.045085894936897,0.24924439707734,0,0.07622742348393,0.70377206531211,0,49.633401214721,3.1866470055372,36.460261936975,3.57,4.8,9.7257142857143,0.0008452736449388,0.030054644808743,0.030054644808743,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
12,1,1,2017-12-15,R570,0.36400389706684,0,0,4.9476392125464,4.72,4.7509110496993,15,0,12,0.041697316487679,0.1,22.1,156.25,0,25.55,20.8,30.3,0,0.0078436731648381,0.0037735128043148,0.051308981348577,300.25,0,1,1,0.092685688961594,0.57762868131315,1.1665,0.045450229118162,0,0.028,0,0,11.05,130.76,0.18988603766842,0,4.7334012147209,19.060261936974,0,156.25,0,54.54,51.3869219174,50.562649112725,0,0,0,0.057762868131315,0.24217839196528,0,0.12167765260209,0.94595045727739,0,55.249088950301,5.5611413376956,46.809350887275,3.9975,4.9,9.7257142857143,0.0010985132322656,0.032786885245902,0.032786885245902,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
13,1,1,2017-12-16,R570,0.41251636123195,0,0,3.1719561438457,3.02,3.0611171771704,0,0,13,0.025643587481018,9.0,12.54,169.3,0,25.05,22.3,27.8,0,0.0085026407055704,0.0040898863606089,0.053689383383291,325.3,0,1,1,0.13421255000474,0.65459372746965,1.1515,0.051302971142218,0.24,0.268,0,0,6.27,137.03,0.21552962514944,0,4.0090889503007,23.069350887275,0,169.3,0,57.56,54.558878061246,53.623766289895,0,0,0,0.065459372746965,0.16214193781754,0,0.17298062374431,1.1080923950949,0,56.93888282283,8.0527530002847,52.508233710105,4.4,13.9,9.7257142857143,0.0014652141885627,0.03551912568306,0.03551912568306,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
14,1,1,2017-12-17,R570,0.46939317106748,0,0,3.2829983584012,3.12,3.1786338958795,15,0,14,0.030230317440939,0.0,14.12,181.3,0,24,20.1,27.9,0,0.008902714319301,0.0042819146516911,0.055899199093521,349.3,0,1,1,0.17205021410236,0.74482253457031,1.12,0.070041038650064,0,0.268,0,0,7.06,144.09,0.24575994259038,0,11.93888282283,35.008233710105,0,181.3,0,60.68,57.841876419647,56.802400185775,0,0,0,0.074482253457031,0.17440550117179,0,0.24302166239437,1.2824978962667,0,56.821366104121,10.323012846142,64.329599814225,4.75,13.9,9.7257142857143,0.0019352967407549,0.038251366120219,0.038251366120219,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
15,1,1,2017-12-18,R570,0.55224434599739,0,0,4.2345515180014,4.02,4.0829564894002,0,0,15,0.043740315662022,3.7,19.41,194.05,0,24.75,21.2,28.3,0,0.0093717319352319,0.0045069877034541,0.057199191535747,374.05,0,1,1,0.15862272455742,0.87624350082566,1.1425,0.078345721372518,0.028,0.296,0,0,9.705,153.795,0.2895002582524,0,0.49336610412053,35.501599814225,0,194.05,0,64.7,62.076427937648,60.885356675175,0,0,0,0.087624350082566,0.2299407499737,0,0.32136738376689,1.5124386462404,0,55.9170435106,9.5173634734449,63.918643324825,5.1375,17.6,9.7257142857143,0.0023686921630429,0.040983606557377,0.040983606557377,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
16,1,1,2017-12-19,R570,0.63957753500715,0,0,4.2397199666605,4.02,4.1041113349775,15,0,16,0.046437482392024,1.0,19.21,206.05,0,24,20.2,27.8,0,0.010054864585058,0.0048347196660098,0.058686552856661,398.05,0,1,1,0.19799362216646,1.0147591783225,1.12,0.10031131080074,0,0.296,0,0,9.605,163.4,0.33593774064443,0,11.9170435106,47.418643324825,0,206.05,0,68.72,66.316147904309,64.989468010152,0,0,0,0.10147591783225,0.23591994248378,0,0.42167869456764,1.7483585887242,0,55.895888665022,11.879617329988,75.814531989848,5.4875,18.6,9.7257142857143,0.0029096583438256,0.043715846994536,0.043715846994536,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
17,1,1,2017-12-20,R570,0.73287070361209,0,0,4.1413398931384,3.92,4.0021551005908,0,0,17,0.049080730678962,1.8,18.95,218.95,0,24.9,21.0,28.8,0,0.010774869676739,0.0051800243460646,0.060787850225261,422.95,0,1,1,0.19201252162298,1.1627108679047,1.147,0.099103580335405,0,0.296,0,0,9.475,172.875,0.38501847132339,0,0,47.418643324825,0,218.95,0,72.64,70.457487797447,68.991623110743,0,0,0,0.11627108679047,0.23828837288302,0,0.52078227490304,1.9866469616072,0,53.693733564432,11.520751297379,73.612376889257,5.8825,20.4,9.7257142857143,0.0034342827198447,0.046448087431694,0.046448087431694,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
18,1,1,2017-12-21,R570,0.80481385802075,0,0,3.3018756157137,3.12,3.2264559521652,15,0,18,0.038397116448484,6.9,13.84,230.85,0,23.9,20.5,27.3,0,0.011543916097341,0.0055487162497809,0.062926660535911,446.85,0,1,1,0.26408032376144,1.2767939843161,1.117,0.12091151732353,0.156,0.452,0,0,6.92,179.795,0.42341558777187,0,15.437733564432,62.856376889257,0,230.85,0,75.76,73.759363413161,72.218079062908,0,0,0,0.12767939843161,0.19633118087204,0,0.64169379222657,2.1829781424793,0,56.773544047835,15.844819425686,92.129920937092,6.2275,27.3,9.7257142857143,0.0041558136590836,0.049180327868852,0.049180327868852,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
19,1,1,2017-12-22,R570,0.86556233012661,0,0,2.7776447228341,2.62,2.7211180522536,0,0,19,0.032430997316628,3.4,11.12,242.7,0,23.85,20.4,27.3,0,0.012136910925597,0.0058329131864439,0.065133625461608,470.7,0,1,1,0.27302776891941,1.3731180979912,1.1155,0.1141234281289,0.016,0.468,0,0,5.56,185.355,0.4558465850885,0,0.15754404783478,63.013920937092,0,242.7,0,78.38,76.537008135995,74.939197115162,0,0,0,0.13731180979912,0.17065009870941,0,0.75581722035547,2.3536282411887,0,57.278881947746,16.381666135165,92.792802884838,6.57,30.7,9.7257142857143,0.0049017911697923,0.051912568306011,0.051912568306011,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
20,1,1,2017-12-23,R570,0.98789790731766,0,0,4.5859682144457,4.32,4.5243827900888,15,0,20,0.064766468403895,28.8,21.33,254.75,0,24.05,19.7,28.4,0,0.012637592874121,0.0060728052886915,0.066785588004876,494.75,0,1,1,0.37646296311465,1.5670670927255,1.1215,0.22692831582424,1.032,1.5,0,0,10.665,196.02,0.5206130534924,0,40.046881947746,103.06080288484,0,254.75,0,82.7,81.122976350441,79.463579905251,0,0,0,0.15670670927255,0.28851374018106,0,0.98274553617971,2.6421419813697,0,55.475617209911,22.587777786879,131.03642009475,6.9225,59.5,9.7257142857143,0.0059303785007067,0.054644808743169,0.054644808743169,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
21,1,1,2017-12-24,R570,1.0662824948721,0,0,2.9968564386178,2.82,2.9844231412186,0,0,21,0.041923366026194,0.8,12.79,266.4,0,23.65,20.1,27.2,0,0.013645705758751,0.0065556475412344,0.068149214091135,518.4,0,1,1,0.38971434796219,1.6913249492236,1.1095,0.17974748633772,0,1.5,0,0,6.395,202.415,0.56253641951859,0,0,103.06080288484,0,266.4,0,85.52,84.119832789059,82.448003046469,0,0,0,0.16913249492236,0.192180783737,0,1.1624930225174,2.8343227651067,0,53.291194068693,23.382860877731,128.85199695353,7.255,60.3,9.7257142857143,0.0069951718011498,0.057377049180328,0.057377049180328,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
22,1,1,2017-12-25,R570,1.2005034430301,0,0,4.4940787749083,4.22,4.4524423544696,15,0,22,0.070261901159808,1.0,20.47,279.8,0,25.4,21.5,29.3,0,0.014291571283097,0.0068648657703769,0.070815230468741,543.8,0,1,1,0.40863261727061,1.9040615955892,1.162,0.25720385213942,0,1.5,0,0,10.235,212.65,0.6327983206784,0,9.2911940686926,112.35199695353,0,279.8,0,89.74,88.613911563967,86.900445400939,0,0,0,0.19040615955892,0.29884027257809,0,1.4196968746569,3.1331630376848,0,55.54755764553,24.517957036237,140.39955459906,7.675,61.3,9.7257142857143,0.0081116543619985,0.060109289617486,0.060109289617486,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
23,1,1,2017-12-26,R570,1.2762207639328,0,0,2.7937750628053,2.62,2.7937750628053,0,0,23,0.039742936928492,5.7,10.75,293.15,0,25.35,22.0,28.7,0,0.015397315669109,0.0073940347773939,0.072471735501077,569.15,0,1,1,0.44007559761678,2.0240604508643,1.1605,0.18987594701282,0.108,1.608,0,0,5.375,218.025,0.67254125760689,0,1.1395576455304,113.49155459906,0,293.15,0,92.36,91.407686626772,89.694220463744,0,0,0,0.20240604508643,0.18987594701282,0,1.6095728216697,3.3230389846976,0,57.206224937195,26.404535857007,143.19777953626,8.0925,67,9.7257142857143,0.0093140467052137,0.062841530054645,0.062841530054645,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
24,1,1,2017-12-27,R570,1.3552734021996,0,0,2.7997378841337,2.62,2.7997378841337,15,0,24,0.041577409725681,3.6,10.81,306.25,0,25.1,21.7,28.5,0,0.016021030764828,0.0076923977290807,0.075223091590266,594.25,0,1,1,0.49258363371862,2.1493331198425,1.153,0.1970844999665,0.024,1.632,0,0,5.405,223.43,0.71411866733257,0,15.782224937195,129.27377953626,0,306.25,0,94.98,94.207424510906,92.493958347878,0,0,0,0.21493331198425,0.1970844999665,0,1.8066573216362,3.5201234846641,0,57.200262115866,29.555018023117,158.97404165212,8.4975,70.6,19.273779536256,0.010659903627942,0.065573770491803,0.065573770491803,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
