Year;codtrait;id_bassin;datesimul;nomplante;dmbaer;dmstm;dmsug;etm;etp;etr;irdose;jat;nage;pari;rr;rg;sdj;sug_stm;tmo;tn;tx;yldcan;lai;ei;kcp;stmo;stmot;swdf1;swdf2;swdef;mst;swdfpart1;trp;runoff;srunoff;runofft;srunofft;par;spar;spari;sparit;drain;sdrain;sdraint;sddbla;sddblat;setp;setm;setr;setpt;setmt;setrt;dmrac;tmp;strpt;strp;stmp;stmpt;stock;stockfr;stockm;htvd;spr;stockevap;swdefm;swdf1m;swdf2m;swdeft;swdf1t;swdf2t;tableclimat;id_session
2002;1;1;2002-09-15;R570;3642.1013258693;1775.9734763654;905.85941003158;5.6887943135233;5.08;5.6887943135233;10;163;258;11.417034818023;0.0;23.92;2989.45;11.971683177221;19.65;15.0;24.3;75.666837872492;6.4155141726479;0.95460157341331;1.05;6085.45;3606.2;1;1;0.88219909886381;4127.8766451194;1;5.334;0;54.264;0;25.32;11.96;2416.275;1470.3728775099;1263.0069461394;0;1152.518150588;629.93885847921;2989.45;1650.2;1134.97;1307.9692914178;1304.0929875555;632.76;728.5493000361;728.5493000361;412.78766451194;5.334;664.38529264768;831.28432630906;835.16063017134;664.38529264768;51.524861856427;61.753936920467;331.52486185643;191.8594315602;1667.4;112.5;0.59222136757509;0.70491803278689;0.70449874162894;150.57114239147;163;163;mosiweb.mos_meteo_parcelle;ag0eePqmYiJNhDxjY4EjHsHvShSyUnHDbWL13IEz
2002;1;1;2002-09-15;R570;3610.8103548177;1752.7339415579;901.67142593436;5.816344385361;5.18;5.816344385361;10;160;258;11.642664577633;0.0;24.45;3068.95;11.965725431872;18.85;13.2;24.5;75.354514113506;6.3157504264176;0.95236520062438;1.05;6164.95;3583.4;1;1;0.94516881588847;4093.4721643188;1;5.439;0;49.504;0;29.412;12.225;2471.5;1467.0227175233;1239.3634508662;0;1084.8415552163;777.02075726192;3068.95;1663.4;1147.07;1334.3546021966;1310.5124553259;621.69;726.86652583479;726.86652583479;409.34721643188;5.439;650.80484441515;813.08368687267;836.92583374336;650.80484441515;132.1419894578;141.77532238327;732.1419894578;183.71496856632;1642;232.5;0.44751124863889;0.69630675014426;0.66305605575169;139.39793420518;159.88514930846;155.78841121643;mosiweb.mos_meteo_parcelle;ag0eePqmYiJNhDxjY4EjHsHvShSyUnHDbWL13IEz
2002;1;1;2002-09-15;R570;2726.0136545696;1112.0700601482;561.92797398067;3.6209248978235;3.21;3.6209248978235;10;142;258;8.0677947019918;0.0;17.01;2706.9;11.113097153547;17.35;11.6;23.1;50.564479570066;6.157690104893;0.94859432122184;1.05;5802.9;2925.2;1;0.93982111714967;0.45517540149553;3110.5931681673;1;3.3705;0;78.576;0;32.624;8.505;2095.48;1123.6958457246;908.24140289226;0;1790.4745598931;1087.3839482892;2706.9;1221.2;828.21;967.53927807631;915.33916993851;369.88;439.64703706464;438.65751695058;311.05931681673;3.3705;386.52341728629;488.85933502607;541.05944316387;387.51293740036;994.61027016835;454.72022609404;2288.0848300615;137.97934742118;2419.5;10;0.18171670769613;0.70222260007646;0.6700375230767;51.058977328447;141.41703317202;135.00425772935;mosiweb.mos_meteo_parcelle;ag0eePqmYiJNhDxjY4EjHsHvShSyUnHDbWL13IEz
2002;1;1;2002-09-15;R570;3347.8322689146;1559.738582806;779.0728728763;3.8799265931207;3.45;3.8799265931207;10;154;258;8.6883885187365;0.0;18.27;3064.55;11.407136889119;18.85;13.2;24.5;68.296968858107;6.2617830323199;0.95110985426782;1.05;6160.55;3430.4;1;1;0.8967959028731;3801.2650674722;1;3.6225;0;56.776;0;26.86;9.135;2273.8;1336.5691080497;1127.209406077;0;1607.4753682016;907.56798841594;3064.55;1582.4;905.03;1044.3172918971;1043.3697448513;451.88;522.04733717532;522.04733717532;380.12650674722;3.6225;474.474;625.29441251223;626.24195955803;474.474;34.878886947103;35.871836114924;194.8788869471;203.305;1862.5;67.5;0.58620936575866;0.70491803278689;0.70491803278689;139.75141347001;154;154;mosiweb.mos_meteo_parcelle;ag0eePqmYiJNhDxjY4EjHsHvShSyUnHDbWL13IEz
2002;1;1;2002-09-15;R570;3106.9764734966;1384.7143436463;691.10433478324;3.7669773083552;3.35;3.7669773083552;10;151;258;8.4521414094421;0.0;17.77;2923;11.292765424155;18.25;12.6;23.9;61.198856863261;6.2691050759812;0.95128209447857;1.05;6019;3264.3;1;1;0.95040335402187;3533.7463644341;1;3.5175;0;82.072;0;35.592;8.885;2183.06;1250.8557902903;1043.4154264532;0;2263.3178495887;1173.3311147358;2923;1452.3;865.02;999.09244523892;998.78089956911;414.73;480.35205538041;480.35205538041;353.37463644341;3.5175;435.4665;585.20626591762;585.51781158743;435.4665;75.229250842168;76.032268321749;395.22925084217;182.14;2519.4;127.5;0.6265192127911;0.70491803278689;0.70491803278689;144.51426258171;151;151;mosiweb.mos_meteo_parcelle;ag0eePqmYiJNhDxjY4EjHsHvShSyUnHDbWL13IEz
2002;1;1;2002-09-15;R570;2610.0239613421;1030.8435945588;507.38527729141;3.456574811576;3.09;3.456574811576;10;138;258;7.8435049784148;0.0;16.41;2525.15;10.686540939102;16.65;10.9;22.4;47.478906428448;6.4776986173627;0.95594210583971;1.05;5621.15;2736.9;1;1;0.92977212612924;2981.7834311842;1;3.2445;0;95.204;0;39.18;8.205;2026.065;1089.9603225803;877.60840315958;0;2670.5040100265;1274.2538802647;2525.15;1080.9;798.87;923.42265919484;923.42265919484;345.62;401.4357783397;401.4357783397;298.17834311842;3.2445;362.901;513.80962370214;513.80962370214;362.901;46.269330778613;46.488606306462;246.26933077861;121.95;2850.4;82.5;0.6256519335889;0.70491803278689;0.70491803278689;129.48783817834;138;138;mosiweb.mos_meteo_parcelle;ag0eePqmYiJNhDxjY4EjHsHvShSyUnHDbWL13IEz
2002;1;1;2002-09-15;R570;3171.2881964071;1431.086553085;708.19431303442;3.7114300242538;3.30;3.7114300242538;10;152;258;8.8738847537531;0.0;18.66;3061.25;11.231870387403;18.85;13.2;24.5;63.052215580112;6.2619186374712;0.95111304970559;1.05;6157.25;3374.5;1;1;0.90552955597288;3605.1774128006;1;3.465;0;60.48;0;27.208;9.33;2197.755;1265.3589402418;1060.0045721623;0;1759.0097731568;949.4408498927;3061.25;1550.5;846.73;978.28364047574;977.95859555159;413.85;479.73826127329;479.73826127329;360.51774128006;3.465;434.53510671437;578.060263267;578.38530819115;434.53510671437;35.951631291592;36.221182238915;195.95163129159;202.55;1953.4;67.5;0.59578789157067;0.70491803278689;0.70491803278689;138.97197546825;152;152;mosiweb.mos_meteo_parcelle;ag0eePqmYiJNhDxjY4EjHsHvShSyUnHDbWL13IEz
2002;1;1;2002-09-15;R570;3099.9134939948;1379.882834456;687.47657660658;4.7208412752151;4.20;4.7208412752151;10;153;258;12.232641215033;0.0;25.72;2951.2;11.34294263873;18.35;13.5;23.2;60.608309369321;6.2663037261184;0.95121626866508;1.05;6047.2;3330.85;1;1;0.88197896811962;3525.7207642359;1;4.41;0;69.064;0;30.492;12.86;2169.91;1245.167208094;1034.9594146143;1.731747026176;2028.7619667317;1084.4928693903;2951.2;1494.85;823.61;952.83236897029;952.79487454352;395.5;458.64267923464;458.64267923464;352.57207642359;4.41;415.275;560.5192762539;560.55677068067;415.275;35.279158724785;35.279158724785;195.27915872478;186.2175;2205.9;67.5;0.60283423343022;0.70491803278689;0.70491803278689;140.59338871382;153;153;mosiweb.mos_meteo_parcelle;ag0eePqmYiJNhDxjY4EjHsHvShSyUnHDbWL13IEz
2002;1;1;2002-09-15;R570;2951.429415021;1272.6800929762;635.00183129703;3.681743298127;3.28;3.681743298127;10;147;258;8.280460334073;0.0;17.38;2814.3;11.148993394806;17.8;12.1;23.5;56.955978787545;6.3379553015907;0.95287230541691;1.05;5910.3;3100.6;1;1;0.90421392976568;3360.9789492528;1;3.444;0;89.724;0;38.704;8.69;2138.01;1198.5592290684;991.62008157142;0;2496.8712496069;1249.2004861493;2814.3;1336.6;845.93;976.73499124749;976.73499124749;393.03;455.66135206919;455.66135206919;336.09789492528;3.444;412.67787640693;561.8180994801;561.8180994801;412.67787640693;35.569759145645;36.168557190627;195.56975914564;166.2075;2718.9;67.5;0.61225383699325;0.70491803278689;0.70491803278689;134.72205741158;147;147;mosiweb.mos_meteo_parcelle;ag0eePqmYiJNhDxjY4EjHsHvShSyUnHDbWL13IEz
2002;1;1;2002-09-15;R570;3071.8628339742;1359.3393154232;678.89971714546;3.742540185183;3.33;3.742540185183;10;150;258;8.4039240520066;0.0;17.66;2892.65;11.265274046118;18.15;12.5;23.8;60.264820399945;6.2889889658594;0.95174677825669;1.05;5988.65;3220.55;1;1;0.90328408155557;3494.738025812;1;3.4965;0;94.288;0;41.084;8.83;2170.815;1239.3520360509;1030.3160720568;0;2607.3596531776;1315.436156926;2892.65;1420.55;859.99;993.42536977055;993.42536977055;409.04;473.67911805215;473.67911805215;349.4738025812;3.4965;429.492;580.37831614835;580.37831614835;429.492;35.626977051846;36.131363262223;195.62697705185;177.545;2850.7;67.5;0.61181669755685;0.70491803278689;0.70491803278689;137.2962958192;150;150;mosiweb.mos_meteo_parcelle;ag0eePqmYiJNhDxjY4EjHsHvShSyUnHDbWL13IEz
