treatcode	obsdate	swc1	swc2	swc3	swc4	swc5	swc6
GVER-1-0-AAA-R570	0009-10-20	0.3825285	0.3825285	0.3825285	0.3825285	0.3825285	0.3825285
GVER-1-0-AAA-R570	0009-12-20	0.395	0.395	0.395	0.395	0.395	0.395
GVER-1-0-AAA-R570	0010-02-20	0.3927634	0.3927634	0.3927634	0.3927634	0.3927634	0.3927634
GVER-1-0-AAA-R570	0010-09-20	0.3753758	0.3753758	0.3753758	0.3753758	0.3753758	0.3753758
GVER-1-0-AAA-R570	0011-02-20	0.3587536	0.3587536	0.3587536	0.3587536	0.3587536	0.3587536
GVER-1-0-AAA-R570	0011-08-20	0.3259769	0.3259769	0.3259769	0.3259769	0.3259769	0.3259769
GVER-1-0-AAA-R570	0011-11-20	0.390422	0.390422	0.390422	0.390422	0.390422	0.390422
GVER-1-0-AAA-R570	0011-12-20	0.395	0.395	0.395	0.395	0.395	0.395
GVER-1-0-AAA-R570	0012-04-20	0.336031	0.336031	0.336031	0.336031	0.336031	0.336031
GVER-1-0-AAA-R570	0013-01-20	0.395	0.395	0.395	0.395	0.395	0.395
GVER-1-0-AAA-R570	0013-05-20	0.3567635	0.3567635	0.3567635	0.3567635	0.3567635	0.3567635
GVER-1-0-AAA-R570	0014-01-20	0.395	0.395	0.395	0.395	0.395	0.395
GVER-1-0-AAA-R570	0014-10-20	0.369439	0.369439	0.369439	0.369439	0.369439	0.369439
GVER-1-0-AAA-R570	0015-07-20	0.35257	0.35257	0.35257	0.35257	0.35257	0.35257
GVER-1-0-AAA-R570	0015-09-20	0.3839648	0.3839648	0.3839648	0.3839648	0.3839648	0.3839648
GVER-1-0-AAA-R570	0015-11-20	0.395	0.395	0.395	0.395	0.395	0.395
GVER-1-0-AAA-R570	0016-12-20	0.3938136	0.3938136	0.3938136	0.3938136	0.3938136	0.3938136
GVER-1-0-AAA-R570	0017-03-20	0.3215733	0.3215733	0.3215733	0.3215733	0.3215733	0.3215733
GVER-1-0-AAA-R570	0017-04-20	0.3066709	0.3066709	0.3066709	0.3066709	0.3066709	0.3066709
GVER-1-0-AAA-R570	0017-06-20	0.3509676	0.3509676	0.3509676	0.3509676	0.3509676	0.3509676
GVER-1-0-AAA-R570	0017-12-20	0.3905291	0.3905291	0.3905291	0.3905291	0.3905291	0.3905291
GVER-1-0-AAA-R570	0018-02-20	0.3618591	0.3618591	0.3618591	0.3618591	0.3618591	0.3618591
GVER-1-0-AAA-R570	0018-09-20	0.3714483	0.3714483	0.3714483	0.3714483	0.3714483	0.3714483
GVER-1-0-AAA-R570	0018-11-20	0.3906278	0.3906278	0.3906278	0.3906278	0.3906278	0.3906278
GVER-1-0-AAA-R570	0019-08-20	0.3176999	0.3176999	0.3176999	0.3176999	0.3176999	0.3176999
GVER-1-0-AAA-R570	0020-01-20	0.395	0.395	0.395	0.395	0.395	0.395
GVER-1-0-AAA-R570	0020-08-20	0.3872246	0.3872246	0.3872246	0.3872246	0.3872246	0.3872246
GVER-1-0-AAA-R570	0021-01-20	0.3943797	0.3943797	0.3943797	0.3943797	0.3943797	0.3943797
GVER-1-0-AAA-R570	0021-07-20	0.3736921	0.3736921	0.3736921	0.3736921	0.3736921	0.3736921
GVER-1-0-AAA-R570	0021-10-20	0.3898711	0.3898711	0.3898711	0.3898711	0.3898711	0.3898711
GVER-1-0-AAA-R570	0021-10-20	0.395	0.395	0.395	0.395	0.395	0.395
GVER-1-0-AAA-R570	0022-03-20	0.3169135	0.3169135	0.3169135	0.3169135	0.3169135	0.3169135
GVER-1-0-AAA-R570	0022-07-20	0.348776	0.348776	0.348776	0.348776	0.348776	0.348776
GVER-1-0-AAA-R570	0023-06-20	0.3606221	0.3606221	0.3606221	0.3606221	0.3606221	0.3606221
GVER-1-0-AAA-R570	0023-09-20	0.3631096	0.3631096	0.3631096	0.3631096	0.3631096	0.3631096
GVER-1-0-AAA-R570	0023-12-20	0.395	0.395	0.395	0.395	0.395	0.395
GVER-1-0-AAA-R570	0023-12-20	0.3854689	0.3854689	0.3854689	0.3854689	0.3854689	0.3854689
GVER-1-0-AAA-R570	0025-02-20	0.3579558	0.3579558	0.3579558	0.3579558	0.3579558	0.3579558
GVER-1-0-AAA-R570	0025-04-20	0.317092	0.317092	0.317092	0.317092	0.317092	0.317092
GVER-1-0-AAA-R570	0026-08-20	0.3732689	0.3732689	0.3732689	0.3732689	0.3732689	0.3732689
