decade;tmind;tmaxd;tmeand;rhmind;rhmaxd;rhmeand;windmeand;windmaxd;radmeand;etomeand;rainfallmeand;wscode
14;18.41;27.96;NA;NA;NA;NA;NA;NA;14.71;3.12;3.57;501
15;15.96;27.43;NA;NA;NA;NA;NA;NA;16.46;3.4;0.34;501
16;15.28;26.54;NA;NA;NA;NA;NA;NA;15.75;3.21;1.56;501
17;13.09;26.25;NA;NA;NA;NA;NA;NA;16.1;3.22;0;501
18;11.08;25.02;NA;NA;NA;NA;NA;NA;15.33;2.98;0.07;501
19;13.79;25.25;NA;NA;NA;NA;NA;NA;14.46;2.88;0.31;501
20;12.6;25.95;NA;NA;NA;NA;NA;NA;16.12;3.2;0.13;501
21;12.76;25.66;NA;NA;NA;NA;NA;NA;16.23;3.21;0.02;501
22;11.13;26.1;NA;NA;NA;NA;NA;NA;17.8;3.48;0.02;501
23;12.83;26;NA;NA;NA;NA;NA;NA;19.4;3.84;0;501
24;15.52;27.28;NA;NA;NA;NA;NA;NA;19.41;3.98;0.77;501
25;17.47;27.51;NA;NA;NA;NA;NA;NA;18.96;3.95;0.66;501
26;15.7;28.99;NA;NA;NA;NA;NA;NA;22.15;4.59;0.61;501
27;16.16;28.71;NA;NA;NA;NA;NA;NA;23.12;4.8;0.1;501
28;17.06;29.38;NA;NA;NA;NA;NA;NA;23.98;5.03;0.02;501
29;18.38;29.55;NA;NA;NA;NA;NA;NA;23.74;5.04;0.03;501
30;19.08;29.4;NA;NA;NA;NA;NA;NA;25.1;5.34;0.32;501
31;19.84;31.2;NA;NA;NA;NA;NA;NA;26.79;5.81;0.04;501
32;20.8;31.95;NA;NA;NA;NA;NA;NA;25.91;5.69;0.56;501
33;22.54;33.11;NA;NA;NA;NA;NA;NA;26.84;6.01;0.6;501
34;22.8;31.79;NA;NA;NA;NA;NA;NA;26.25;5.83;3.89;501
35;21.7;29.7;NA;NA;NA;NA;NA;NA;23.75;5.18;2.57;501
36;23.29;32.55;NA;NA;NA;NA;NA;NA;26.95;6.04;0.74;501
1;21.5;32.09;NA;NA;NA;NA;NA;NA;10.77;2.44;5.61;502
2;22.69;30.02;NA;NA;NA;NA;NA;NA;8.81;2.01;6.22;502
3;22.51;29.45;NA;NA;NA;NA;NA;NA;8.56;1.94;10.85;502
4;23.16;29.93;NA;NA;NA;NA;NA;NA;8.48;1.94;11.53;502
5;22.62;30.6;NA;NA;NA;NA;NA;NA;9.69;2.2;20.47;502
6;23.02;32.63;NA;NA;NA;NA;NA;NA;12.74;2.91;10.92;502
7;22.74;31.71;NA;NA;NA;NA;NA;NA;11.82;2.69;6.07;502
8;22.8;31.18;NA;NA;NA;NA;NA;NA;11.05;2.51;11.17;502
9;22.83;30.73;NA;NA;NA;NA;NA;NA;8.77;2.01;11.26;502
10;22.55;32.23;NA;NA;NA;NA;NA;NA;12.78;2.9;24.33;502
11;23.33;31.23;NA;NA;NA;NA;NA;NA;10.31;2.36;10.41;502
12;23.02;30.61;NA;NA;NA;NA;NA;NA;9.79;2.23;7.59;502
13;23.5;31.38;NA;NA;NA;NA;NA;NA;9.78;2.24;8.73;502
14;22.68;30.42;NA;NA;NA;NA;NA;NA;8.57;1.96;1.27;502
15;21.66;29.5;NA;NA;NA;NA;NA;NA;8.13;1.84;0;502
16;20.98;29.35;NA;NA;NA;NA;NA;NA;8.58;1.92;0.45;502
17;20.86;29.13;NA;NA;NA;NA;NA;NA;7.13;1.61;0.33;502
18;20.75;28.48;NA;NA;NA;NA;NA;NA;7.34;1.65;0;502
19;20.48;27.77;NA;NA;NA;NA;NA;NA;6.61;1.48;0.12;502
20;20.47;27.28;NA;NA;NA;NA;NA;NA;6.36;1.42;0.02;502
21;19.75;28.76;NA;NA;NA;NA;NA;NA;8.39;1.86;0;502
22;20.72;28.11;NA;NA;NA;NA;NA;NA;7.89;1.76;0;502
23;19.88;28.6;NA;NA;NA;NA;NA;NA;8.25;1.83;0;502
24;19.53;28.91;NA;NA;NA;NA;NA;NA;9.81;2.16;0;502
25;20.33;28.99;NA;NA;NA;NA;NA;NA;7.58;1.7;0;502
26;20.18;28.58;NA;NA;NA;NA;NA;NA;8.04;1.79;0;502
27;20.06;28.11;NA;NA;NA;NA;NA;NA;8.38;1.85;0;502
28;20.39;29.98;NA;NA;NA;NA;NA;NA;10.97;2.44;0;502
29;20.25;29;NA;NA;NA;NA;NA;NA;9.15;2.03;0;502
30;19.63;27.8;NA;NA;NA;NA;NA;NA;7.38;1.63;0;502
31;19.62;28.29;NA;NA;NA;NA;NA;NA;7.65;1.69;0;502
32;19.94;28.46;NA;NA;NA;NA;NA;NA;7.22;1.61;0;502
33;21.16;30.81;NA;NA;NA;NA;NA;NA;10.8;2.42;0;502
34;21.94;29.48;NA;NA;NA;NA;NA;NA;7.31;1.66;0;502
35;22.05;29.19;NA;NA;NA;NA;NA;NA;6.95;1.59;0.05;502
36;22.43;30.63;NA;NA;NA;NA;NA;NA;9.67;2.19;0.78;502
1;19.2;28.96;NA;NA;NA;NA;NA;NA;16.8;3.62;7.86;503
2;19.31;30.4;NA;NA;NA;NA;NA;NA;17.68;3.83;3.2;503
3;19.71;28.05;NA;NA;NA;NA;NA;NA;11.91;2.6;9.71;503
4;18.15;30.26;NA;NA;NA;NA;NA;NA;20.82;4.43;2.66;503
5;18.15;31.38;NA;NA;NA;NA;NA;NA;20.31;4.38;2.6;503
6;18.43;29.78;NA;NA;NA;NA;NA;NA;16.78;3.62;9.2;503
7;18.36;30.94;NA;NA;NA;NA;NA;NA;17.35;3.75;3.01;503
8;19.33;30.06;NA;NA;NA;NA;NA;NA;15.29;3.32;4.45;503
9;16.58;29.25;NA;NA;NA;NA;NA;NA;17.54;3.68;1.88;503
10;18.55;31.36;NA;NA;NA;NA;NA;NA;17.03;3.7;3.31;503
11;17.98;30.6;NA;NA;NA;NA;NA;NA;15.5;3.35;1.55;503
12;15.66;26.75;NA;NA;NA;NA;NA;NA;13.38;2.77;1.28;503
13;13.31;26.71;NA;NA;NA;NA;NA;NA;13.42;2.71;1.21;503
14;13.11;27.42;NA;NA;NA;NA;NA;NA;12.22;2.5;0.88;503
15;13.38;24.2;NA;NA;NA;NA;NA;NA;11.14;2.2;10.37;503
16;11.67;24.97;NA;NA;NA;NA;NA;NA;11.41;2.26;1.96;503
17;11.22;25.41;NA;NA;NA;NA;NA;NA;11.64;2.3;1.58;503
18;12.44;26.15;NA;NA;NA;NA;NA;NA;11.21;2.26;1.06;503
19;12.74;25;NA;NA;NA;NA;NA;NA;11.44;2.29;1.75;503
20;11.47;23.77;NA;NA;NA;NA;NA;NA;10.84;2.14;2.16;503
21;9.54;24.74;NA;NA;NA;NA;NA;NA;14.36;2.75;0.36;503
22;9.7;27.18;NA;NA;NA;NA;NA;NA;16.47;3.22;0;503
23;10.26;27.38;NA;NA;NA;NA;NA;NA;17.17;3.37;0;503
24;13.19;29.65;NA;NA;NA;NA;NA;NA;15.67;3.23;1.09;503
25;14.25;30.62;NA;NA;NA;NA;NA;NA;17.85;3.73;0.71;503
26;15.28;28.12;NA;NA;NA;NA;NA;NA;16.16;3.36;1.02;503
27;15.88;29.43;NA;NA;NA;NA;NA;NA;16.59;3.52;0.54;503
28;16.05;28.5;NA;NA;NA;NA;NA;NA;15.84;3.32;3.54;503
29;18.3;29.04;NA;NA;NA;NA;NA;NA;14.56;3.14;5.09;503
30;17.26;29.05;NA;NA;NA;NA;NA;NA;15.95;3.38;4.75;503
31;17.38;28.94;NA;NA;NA;NA;NA;NA;18.22;3.85;1.55;503
32;17.36;28.74;NA;NA;NA;NA;NA;NA;17.8;3.75;6.16;503
33;17.32;30.29;NA;NA;NA;NA;NA;NA;20.58;4.37;3.47;503
34;18.64;28.94;NA;NA;NA;NA;NA;NA;17.37;3.71;3.73;503
35;17.24;29.77;NA;NA;NA;NA;NA;NA;18.92;4.01;3.09;503
36;18.11;29.65;NA;NA;NA;NA;NA;NA;19.42;4.15;4.11;503
1;21.92;34.16;NA;NA;NA;NA;NA;NA;23.73;5.36;5.26;504
2;22.75;31.79;NA;NA;NA;NA;NA;NA;22.11;4.94;3.64;504
3;22.8;30.66;NA;NA;NA;NA;NA;NA;18.39;4.11;14.15;504
4;23;30.82;NA;NA;NA;NA;NA;NA;19.74;4.4;26.4;504
5;22.75;30.1;NA;NA;NA;NA;NA;NA;16.96;3.77;15.84;504
6;22.38;30.42;NA;NA;NA;NA;NA;NA;19.86;4.39;26.8;504
7;22.95;32.07;NA;NA;NA;NA;NA;NA;20.33;4.56;6.44;504
8;20.15;31.3;NA;NA;NA;NA;NA;NA;23.79;5.18;0.86;504
9;20.62;29.35;NA;NA;NA;NA;NA;NA;21.23;4.59;2.72;504
10;20.31;28.89;NA;NA;NA;NA;NA;NA;17.79;3.84;2.51;504
11;17.94;27.99;NA;NA;NA;NA;NA;NA;18.64;3.91;2.46;504
12;19.03;26.75;NA;NA;NA;NA;NA;NA;15.76;3.33;3.98;504
13;18.3;26.21;NA;NA;NA;NA;NA;NA;14.62;3.05;1.98;504
14;18.37;26.29;NA;NA;NA;NA;NA;NA;12.68;2.67;2.05;504
15;17.14;25.69;NA;NA;NA;NA;NA;NA;13.7;2.83;1.32;504
16;16.06;25.74;NA;NA;NA;NA;NA;NA;13.06;2.68;3.29;504
17;14.35;25.1;NA;NA;NA;NA;NA;NA;13.54;2.73;0.88;504
18;13.48;24.03;NA;NA;NA;NA;NA;NA;12.71;2.51;1.46;504
19;14.66;24.05;NA;NA;NA;NA;NA;NA;12.35;2.46;1.77;504
20;13.95;24.3;NA;NA;NA;NA;NA;NA;13.67;2.72;0.44;504
21;13.76;23.96;NA;NA;NA;NA;NA;NA;13.4;2.65;0.9;504
22;11.88;24.62;NA;NA;NA;NA;NA;NA;16.22;3.16;0.86;504
23;13.79;25.06;NA;NA;NA;NA;NA;NA;17.09;3.4;0.1;504
24;16.09;25.86;NA;NA;NA;NA;NA;NA;15.58;3.19;1.49;504
25;19.45;28.29;NA;NA;NA;NA;NA;NA;15.78;3.38;1.38;504
26;16.68;28.88;NA;NA;NA;NA;NA;NA;20.8;4.35;0.67;504
27;17.61;27.95;NA;NA;NA;NA;NA;NA;19.51;4.09;2.5;504
28;16.16;28.31;NA;NA;NA;NA;NA;NA;22.62;4.68;1.26;504
29;18.21;29.26;NA;NA;NA;NA;NA;NA;23.4;4.95;0.41;504
30;18.96;29.83;NA;NA;NA;NA;NA;NA;22.8;4.87;0.53;504
31;18.95;30.29;NA;NA;NA;NA;NA;NA;23.53;5.05;0.24;504
32;19.43;30.66;NA;NA;NA;NA;NA;NA;24.39;5.26;1.48;504
33;21.77;32.97;NA;NA;NA;NA;NA;NA;24.33;5.42;1.91;504
34;21.2;32.32;NA;NA;NA;NA;NA;NA;23.58;5.21;3.78;504
35;21.14;29.97;NA;NA;NA;NA;NA;NA;21.02;4.59;4.75;504
36;22.92;31.47;NA;NA;NA;NA;NA;NA;21.77;4.86;3.98;504
1;19.63;27.02;NA;NA;NA;NA;NA;NA;20.36;4.31;3.48;505
2;19.67;28.21;NA;NA;NA;NA;NA;NA;22.78;4.85;0.99;505
3;21.28;28.38;NA;NA;NA;NA;NA;NA;20.24;4.38;2.92;505
4;20.82;28.23;NA;NA;NA;NA;NA;NA;20.89;4.51;8.21;505
5;20.23;27.61;NA;NA;NA;NA;NA;NA;19.8;4.23;5.23;505
6;20.46;27.87;NA;NA;NA;NA;NA;NA;20.16;4.32;3.42;505
7;19.37;27.77;NA;NA;NA;NA;NA;NA;19.67;4.17;1.92;505
8;20.03;28;NA;NA;NA;NA;NA;NA;17.96;3.86;4.27;505
9;18.19;27.11;NA;NA;NA;NA;NA;NA;17.45;3.66;5.12;505
10;16.48;27.71;NA;NA;NA;NA;NA;NA;18.9;3.92;0.57;505
11;16.33;26.92;NA;NA;NA;NA;NA;NA;15.68;3.24;4.06;505
12;16.05;26.01;NA;NA;NA;NA;NA;NA;15.15;3.12;0.61;505
13;13.12;26.14;NA;NA;NA;NA;NA;NA;15.12;3.03;0.72;505
14;11.76;25.07;NA;NA;NA;NA;NA;NA;13.76;2.71;1.16;505
15;10.99;23.7;NA;NA;NA;NA;NA;NA;12.54;2.42;0.63;505
16;9.13;23.38;NA;NA;NA;NA;NA;NA;12;2.28;0.4;505
17;8.43;23.32;NA;NA;NA;NA;NA;NA;12.2;2.3;0.28;505
18;9.51;22.69;NA;NA;NA;NA;NA;NA;11.32;2.14;0.45;505
19;9.19;22.8;NA;NA;NA;NA;NA;NA;12.07;2.28;1.44;505
20;8.24;23.15;NA;NA;NA;NA;NA;NA;12.79;2.4;0.38;505
21;9.23;23.15;NA;NA;NA;NA;NA;NA;13.6;2.56;0.04;505
22;9.75;23.12;NA;NA;NA;NA;NA;NA;14.36;2.72;0.23;505
23;10.96;22.96;NA;NA;NA;NA;NA;NA;14.8;2.83;1.14;505
24;12.65;23.43;NA;NA;NA;NA;NA;NA;14.51;2.83;2.84;505
25;13.96;23.72;NA;NA;NA;NA;NA;NA;15.33;3.02;0.71;505
26;15.11;24.48;NA;NA;NA;NA;NA;NA;14.74;2.97;1.44;505
27;13.66;23.46;NA;NA;NA;NA;NA;NA;17.27;3.39;2.53;505
28;15.75;23.65;NA;NA;NA;NA;NA;NA;15.7;3.15;3.25;505
29;16.02;24.36;NA;NA;NA;NA;NA;NA;17.62;3.55;5.15;505
30;17.1;24.53;NA;NA;NA;NA;NA;NA;18.44;3.75;2.03;505
31;18.17;25.81;NA;NA;NA;NA;NA;NA;18.73;3.89;2.61;505
32;18.29;25.54;NA;NA;NA;NA;NA;NA;19.59;4.05;4.56;505
33;17.3;25.49;NA;NA;NA;NA;NA;NA;21.33;4.36;8.07;505
34;19.41;25.84;NA;NA;NA;NA;NA;NA;19.89;4.16;4.34;505
35;20.02;26.93;NA;NA;NA;NA;NA;NA;20.85;4.41;3.73;505
36;20.27;27.56;NA;NA;NA;NA;NA;NA;21.21;4.52;0.73;505
1;19.91;33.07;NA;NA;NA;NA;NA;NA;24.28;5.39;1.56;506
2;20.79;34.93;NA;NA;NA;NA;NA;NA;24.56;5.54;0.48;506
3;21.49;34.59;NA;NA;NA;NA;NA;NA;22.85;5.16;6.9;506
4;20.8;33.79;NA;NA;NA;NA;NA;NA;22.65;5.08;2.87;506
5;21.09;34.17;NA;NA;NA;NA;NA;NA;21.4;4.81;1.86;506
6;20.23;33.55;NA;NA;NA;NA;NA;NA;21.58;4.79;0.43;506
7;21.12;33.45;NA;NA;NA;NA;NA;NA;20.13;4.5;3.76;506
8;19.61;34.2;NA;NA;NA;NA;NA;NA;21.94;4.87;0.59;506
9;19.3;33.86;NA;NA;NA;NA;NA;NA;20.5;4.54;1.34;506
10;18.03;33.65;NA;NA;NA;NA;NA;NA;18.79;4.13;4.45;506
11;17.9;30.76;NA;NA;NA;NA;NA;NA;15.47;3.34;0.32;506
12;16.21;32.06;NA;NA;NA;NA;NA;NA;18.07;3.87;0;506
13;13.75;29.75;NA;NA;NA;NA;NA;NA;15.14;3.13;0.05;506
14;11.41;28.42;NA;NA;NA;NA;NA;NA;13.92;2.81;0.08;506
15;11.03;30.17;NA;NA;NA;NA;NA;NA;14.65;2.98;0;506
16;9.84;26.02;NA;NA;NA;NA;NA;NA;12.01;2.36;0.2;506
17;8.41;26.81;NA;NA;NA;NA;NA;NA;12.45;2.42;0.21;506
18;9.68;25.25;NA;NA;NA;NA;NA;NA;10.58;2.06;0.97;506
19;5.88;25.4;NA;NA;NA;NA;NA;NA;13.97;2.6;0.005;506
20;6.12;26.13;NA;NA;NA;NA;NA;NA;13.85;2.6;0.34;506
21;8.44;28.89;NA;NA;NA;NA;NA;NA;15;2.96;0.004545455;506
22;10.54;26.68;NA;NA;NA;NA;NA;NA;13.83;2.73;0;506
23;12.53;28.87;NA;NA;NA;NA;NA;NA;15.79;3.21;0.03;506
24;11.06;29.7;NA;NA;NA;NA;NA;NA;18.41;3.7;0;506
25;12.53;29.77;NA;NA;NA;NA;NA;NA;16.98;3.49;0.46;506
26;9.74;28.8;NA;NA;NA;NA;NA;NA;21.9;4.33;0.05;506
27;15.39;31.9;NA;NA;NA;NA;NA;NA;19.46;4.14;0.24;506
28;16.79;28.86;NA;NA;NA;NA;NA;NA;16.89;3.59;0.35;506
29;14.68;32.79;NA;NA;NA;NA;NA;NA;22.72;4.83;0;506
30;17.7;31.6;NA;NA;NA;NA;NA;NA;19.32;4.24;4.57;506
31;16.16;30.08;NA;NA;NA;NA;NA;NA;21.24;4.52;1;506
32;16.42;31.43;NA;NA;NA;NA;NA;NA;22.28;4.77;0.04;506
33;15.48;29.96;NA;NA;NA;NA;NA;NA;23.03;4.81;1.72;506
34;19.28;32.18;NA;NA;NA;NA;NA;NA;21.75;4.76;0.05;506
35;21.31;31.71;NA;NA;NA;NA;NA;NA;19.06;4.25;6.45;506
36;21.09;32.74;NA;NA;NA;NA;NA;NA;24.7;5.47;1.75;506
1;5.2;13.06;NA;NA;NA;NA;NA;NA;12.3;1.96;0.76;507
2;5.77;14.91;NA;NA;NA;NA;NA;NA;12.92;2.11;2.27;507
3;8.2;16.92;NA;NA;NA;NA;NA;NA;12.35;2.14;3.64;507
4;5.69;12.09;NA;NA;NA;NA;NA;NA;12.23;1.98;3.56;507
5;7.06;16.08;NA;NA;NA;NA;NA;NA;15.75;2.65;2.15;507
6;12.5;19.21;NA;NA;NA;NA;NA;NA;14.78;2.75;0.96;507
7;10.14;18.76;NA;NA;NA;NA;NA;NA;16.18;2.9;2.54;507
8;13.06;22.24;NA;NA;NA;NA;NA;NA;20.61;3.95;2.5;507
9;13.66;22.19;NA;NA;NA;NA;NA;NA;22.1;4.25;4.37;507
10;14.92;24.27;NA;NA;NA;NA;NA;NA;23.46;4.63;10.44;507
11;15.52;24.57;NA;NA;NA;NA;NA;NA;23.54;4.69;4.45;507
12;16.2;25.45;NA;NA;NA;NA;NA;NA;25.14;5.06;0.56;507
13;17.33;27.35;NA;NA;NA;NA;NA;NA;23.82;4.92;3.14;507
14;17.5;27.67;NA;NA;NA;NA;NA;NA;26.37;5.46;3.01;507
15;20.66;30.21;NA;NA;NA;NA;NA;NA;27.84;6.03;1.87;507
16;20.85;31.44;NA;NA;NA;NA;NA;NA;23.3;5.12;8.76;507
17;22.25;31.1;NA;NA;NA;NA;NA;NA;25.2;5.57;3.34;507
18;22.66;32.03;NA;NA;NA;NA;NA;NA;23.65;5.29;4.22;507
19;22.38;31.53;NA;NA;NA;NA;NA;NA;21.48;4.78;6.46;507
20;22.47;30.08;NA;NA;NA;NA;NA;NA;19.9;4.39;7.92;507
21;22.96;30.88;NA;NA;NA;NA;NA;NA;21.71;4.82;3.11;507
22;23.33;32.01;NA;NA;NA;NA;NA;NA;21.49;4.82;7.86;507
23;22.85;31.35;NA;NA;NA;NA;NA;NA;19.83;4.44;9.08;507
24;22.33;30.94;NA;NA;NA;NA;NA;NA;19.91;4.43;9.94;507
25;20.28;29.38;NA;NA;NA;NA;NA;NA;21.77;4.68;5.55;507
26;19.88;29.51;NA;NA;NA;NA;NA;NA;20.32;4.37;3.51;507
27;19.01;28.68;NA;NA;NA;NA;NA;NA;19.59;4.16;2.81;507
28;15;25.19;NA;NA;NA;NA;NA;NA;21.28;4.25;0.32;507
29;14.15;25.74;NA;NA;NA;NA;NA;NA;19.28;3.84;0.05;507
30;12.19;23.78;NA;NA;NA;NA;NA;NA;17.32;3.34;1.08;507
31;12.26;21.43;NA;NA;NA;NA;NA;NA;15.03;2.84;3.31;507
32;11.88;21.2;NA;NA;NA;NA;NA;NA;14.37;2.72;1.46;507
33;8.68;19.03;NA;NA;NA;NA;NA;NA;12.26;2.22;0.71;507
34;8.1;16.2;NA;NA;NA;NA;NA;NA;11.5;1.99;1.24;507
35;8.13;17.89;NA;NA;NA;NA;NA;NA;11.82;2.09;0.53;507
36;8.05;15.91;NA;NA;NA;NA;NA;NA;10.21;1.78;1.63;507
1;22.2;32.81;NA;NA;NA;NA;NA;NA;24.1;5.4;1.8;508
2;22.54;32.59;NA;NA;NA;NA;NA;NA;20.99;4.72;5.1;508
3;22.01;32.17;NA;NA;NA;NA;NA;NA;22.34;4.98;6.03;508
4;21.5;33.05;NA;NA;NA;NA;NA;NA;25.19;5.61;0.15;508
5;21.92;33.46;NA;NA;NA;NA;NA;NA;22.83;5.12;4.07;508
6;21.81;31.15;NA;NA;NA;NA;NA;NA;20.18;4.47;2.94;508
7;20.08;30.9;NA;NA;NA;NA;NA;NA;20.01;4.37;0.7;508
8;21.29;32.59;NA;NA;NA;NA;NA;NA;20.17;4.49;0.68;508
9;21.25;33.83;NA;NA;NA;NA;NA;NA;21.09;4.72;0.67;508
10;19.55;30.26;NA;NA;NA;NA;NA;NA;16.54;3.6;4.21;508
11;17.48;29.08;NA;NA;NA;NA;NA;NA;17.17;3.63;0.26;508
12;17.41;29.32;NA;NA;NA;NA;NA;NA;14.44;3.08;0.87;508
13;14.49;29.87;NA;NA;NA;NA;NA;NA;15.96;3.33;0;508
14;14.68;29.28;NA;NA;NA;NA;NA;NA;14.64;3.05;0.77;508
15;12.4;26.46;NA;NA;NA;NA;NA;NA;13.83;2.77;1.23;508
16;11.02;27.04;NA;NA;NA;NA;NA;NA;13.16;2.61;0.39;508
17;10.24;25.3;NA;NA;NA;NA;NA;NA;13.35;2.6;0;508
18;8.75;26.29;NA;NA;NA;NA;NA;NA;13.35;2.58;0;508
19;10.44;25.3;NA;NA;NA;NA;NA;NA;12.54;2.46;0.06;508
20;10.71;24.02;NA;NA;NA;NA;NA;NA;12.31;2.39;0.73;508
21;10.45;25.88;NA;NA;NA;NA;NA;NA;14.23;2.78;0.01;508
22;10.3;25.99;NA;NA;NA;NA;NA;NA;15.13;2.95;0.006666667;508
23;11.21;25.56;NA;NA;NA;NA;NA;NA;15.69;3.07;0.04;508
24;12.32;29.65;NA;NA;NA;NA;NA;NA;17.6;3.59;0.009090909;508
25;13.5;31.07;NA;NA;NA;NA;NA;NA;18.09;3.77;0;508
26;14.35;31.06;NA;NA;NA;NA;NA;NA;20.08;4.2;0.03;508
27;16.27;31.23;NA;NA;NA;NA;NA;NA;19.75;4.19;0;508
28;17.51;32.81;NA;NA;NA;NA;NA;NA;19.19;4.16;0.02;508
29;19.12;32.83;NA;NA;NA;NA;NA;NA;22.08;4.84;0.01;508
30;20.96;34.44;NA;NA;NA;NA;NA;NA;19.66;4.42;0.48;508
31;21.57;33.5;NA;NA;NA;NA;NA;NA;18.78;4.21;0.57;508
32;21.72;33.35;NA;NA;NA;NA;NA;NA;22.79;5.12;2.01;508
33;21.78;31.54;NA;NA;NA;NA;NA;NA;20.81;4.64;1.61;508
34;21.47;32.75;NA;NA;NA;NA;NA;NA;20.8;4.65;4.72;508
35;21.95;32.13;NA;NA;NA;NA;NA;NA;20.69;4.62;5.8;508
36;21.93;32.25;NA;NA;NA;NA;NA;NA;24.37;5.43;4.9;508
1;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
2;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
3;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
4;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
5;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
6;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
7;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
8;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
9;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
10;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
11;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
12;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
13;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
14;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
15;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
16;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
17;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
18;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
19;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
20;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
21;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
22;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
23;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
24;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
25;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
26;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
27;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
28;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
29;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
30;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
31;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
32;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
33;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
34;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
35;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
36;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97100
1;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
2;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
3;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
4;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
5;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
6;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
7;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
8;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
9;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
10;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
11;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
12;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
13;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
14;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
15;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
16;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
17;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
18;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
19;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
20;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
21;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
22;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
23;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
