rainfalldate	rainfall	wscode
17/09/2003	0	1031
18/09/2003	0	1031
19/09/2003	0	1031
20/09/2003	0	1031
21/09/2003	0	1031
22/09/2003	0	1031
23/09/2003	0	1031
24/09/2003	0	1031
25/09/2003	0	1031
26/09/2003	0	1031
27/09/2003	0	1031
28/09/2003	0	1031
29/09/2003	0	1031
30/09/2003	0	1031
01/10/2003	0	1031
02/10/2003	0	1031
03/10/2003	0	1031
04/10/2003	2.6	1031
05/10/2003	0	1031
06/10/2003	25.8	1031
07/10/2003	0	1031
08/10/2003	0	1031
09/10/2003	0	1031
10/10/2003	0	1031
11/10/2003	0	1031
12/10/2003	0	1031
13/10/2003	0	1031
14/10/2003	0	1031
15/10/2003	0	1031
16/10/2003	16.2	1031
17/10/2003	1.6	1031
18/10/2003	0.9	1031
19/10/2003	9.2	1031
20/10/2003	21.5	1031
21/10/2003	2.3	1031
22/10/2003	0	1031
23/10/2003	0	1031
24/10/2003	0	1031
25/10/2003	11.5	1031
26/10/2003	2.2	1031
27/10/2003	3.6	1031
28/10/2003	0.8	1031
29/10/2003	1.7	1031
30/10/2003	0	1031
31/10/2003	33.4	1031
01/11/2003	0	1031
02/11/2003	0	1031
03/11/2003	0	1031
04/11/2003	0	1031
05/11/2003	0	1031
06/11/2003	0	1031
07/11/2003	0	1031
08/11/2003	0	1031
09/11/2003	0.4	1031
10/11/2003	3.1	1031
11/11/2003	0.3	1031
12/11/2003	0	1031
13/11/2003	0	1031
14/11/2003	0	1031
15/11/2003	37.7	1031
16/11/2003	5.4	1031
17/11/2003	0	1031
18/11/2003	0	1031
19/11/2003	0	1031
20/11/2003	0	1031
21/11/2003	0	1031
22/11/2003	6.5	1031
23/11/2003	20.2	1031
24/11/2003	7.7	1031
25/11/2003	0	1031
26/11/2003	0	1031
27/11/2003	7.5	1031
28/11/2003	0	1031
29/11/2003	0	1031
30/11/2003	5.6	1031
01/12/2003	15.6	1031
02/12/2003	10.2	1031
03/12/2003	14.6	1031
04/12/2003	28.9	1031
05/12/2003	0	1031
06/12/2003	3.5	1031
07/12/2003	0.5	1031
08/12/2003	2.5	1031
09/12/2003	47.6	1031
10/12/2003	0.2	1031
11/12/2003	0	1031
12/12/2003	0	1031
13/12/2003	0	1031
14/12/2003	0	1031
15/12/2003	0	1031
16/12/2003	0	1031
17/12/2003	4.7	1031
18/12/2003	5.6	1031
19/12/2003	0	1031
20/12/2003	0	1031
21/12/2003	0	1031
22/12/2003	0	1031
23/12/2003	0	1031
24/12/2003	0	1031
25/12/2003	0	1031
26/12/2003	0	1031
27/12/2003	39.3	1031
28/12/2003	0	1031
29/12/2003	0	1031
30/12/2003	0	1031
31/12/2003	2.2	1031
01/01/2004	1.2	1031
02/01/2004	0.8	1031
03/01/2004	0	1031
04/01/2004	0	1031
05/01/2004	0	1031
06/01/2004	0	1031
07/01/2004	0	1031
08/01/2004	0	1031
09/01/2004	0	1031
10/01/2004	0	1031
11/01/2004	0	1031
12/01/2004	0	1031
13/01/2004	0	1031
14/01/2004	0	1031
15/01/2004	0	1031
16/01/2004	0	1031
17/01/2004	0	1031
18/01/2004	0	1031
19/01/2004	0	1031
20/01/2004	0	1031
21/01/2004	0	1031
22/01/2004	0	1031
23/01/2004	0	1031
24/01/2004	0	1031
25/01/2004	0	1031
26/01/2004	0	1031
27/01/2004	0	1031
28/01/2004	15.3	1031
29/01/2004	4.2	1031
30/01/2004	0	1031
31/01/2004	0	1031
01/02/2004	0	1031
02/02/2004	0	1031
03/02/2004	0	1031
04/02/2004	0	1031
05/02/2004	0	1031
06/02/2004	0	1031
07/02/2004	0	1031
08/02/2004	0	1031
09/02/2004	0	1031
10/02/2004	0	1031
11/02/2004	0	1031
12/02/2004	0	1031
13/02/2004	0	1031
14/02/2004	0	1031
15/02/2004	0	1031
16/02/2004	0	1031
17/02/2004	0	1031
18/02/2004	0	1031
19/02/2004	0	1031
20/02/2004	8.1	1031
21/02/2004	4.5	1031
22/02/2004	0.5	1031
23/02/2004	0	1031
24/02/2004	5.1	1031
25/02/2004	19.6	1031
26/02/2004	6.4	1031
27/02/2004	1.6	1031
28/02/2004	0	1031
29/02/2004	0	1031
01/03/2004	2.3	1031
02/03/2004	0	1031
03/03/2004	0	1031
04/03/2004	0	1031
05/03/2004	0	1031
06/03/2004	0	1031
07/03/2004	0	1031
08/03/2004	0	1031
09/03/2004	0	1031
10/03/2004	0	1031
11/03/2004	0	1031
12/03/2004	12.6	1031
13/03/2004	25.2	1031
14/03/2004	0	1031
15/03/2004	0	1031
16/03/2004	0	1031
17/03/2004	0	1031
18/03/2004	0	1031
19/03/2004	0	1031
20/03/2004	0	1031
21/03/2004	0	1031
22/03/2004	0	1031
23/03/2004	0	1031
24/03/2004	0	1031
25/03/2004	22.5	1031
26/03/2004	8.2	1031
27/03/2004	6.6	1031
28/03/2004	7.4	1031
29/03/2004	11.4	1031
30/03/2004	4.2	1031
31/03/2004	1.7	1031
01/04/2004	5.5	1031
02/04/2004	0.2	1031
03/04/2004	0	1031
04/04/2004	0	1031
05/04/2004	0	1031
06/04/2004	0	1031
07/04/2004	0	1031
08/04/2004	1.8	1031
09/04/2004	0	1031
10/04/2004	2.2	1031
11/04/2004	0	1031
12/04/2004	0	1031
13/04/2004	1.2	1031
14/04/2004	0.5	1031
15/04/2004	4.8	1031
16/04/2004	0	1031
17/04/2004	0	1031
18/04/2004	5.5	1031
19/04/2004	2.7	1031
20/04/2004	0	1031
21/04/2004	0	1031
22/04/2004	0.3	1031
23/04/2004	0	1031
24/04/2004	0	1031
25/04/2004	0	1031
26/04/2004	0	1031
27/04/2004	0	1031
28/04/2004	4.7	1031
29/04/2004	2.6	1031
30/04/2004	2.9	1031
01/05/2004	13.1	1031
02/05/2004	22.4	1031
03/05/2004	0	1031
04/05/2004	0	1031
05/05/2004	0	1031
06/05/2004	2.8	1031
07/05/2004	0.7	1031
08/05/2004	0	1031
09/05/2004	3.9	1031
