decade	rainfallmeand	wscode
9	1.72	97404520
10	1.84	97404520
11	1.6	97404520
12	1.19	97404520
13	1.75	97404520
14	0.63	97404520
15	0.81	97404520
16	2.17	97404520
17	0.55	97404520
18	1.31	97404520
19	1.18	97404520
20	1.41	97404520
21	0.61	97404520
22	0.34	97404520
23	0.62	97404520
24	1.01	97404520
25	0.41	97404520
26	0.41	97404520
27	0.2	97404520
28	1.04	97404520
29	0.68	97404520
30	0.78	97404520
31	0.48	97404520
32	0.24	97404520
33	1.62	97404520
34	2.73	97404520
35	0.94	97404520
36	1.29	97404520
1	5.87	97405420
2	4.38	97405420
3	5.73	97405420
4	7.17	97405420
5	9.56	97405420
6	14.1	97405420
7	9.32	97405420
8	4.41	97405420
9	6.49	97405420
10	8.48	97405420
11	6.03	97405420
12	3.61	97405420
13	4.99	97405420
14	4.04	97405420
15	1.31	97405420
16	6.91	97405420
17	3.96	97405420
18	6.13	97405420
19	7.24	97405420
20	7.76	97405420
21	3.84	97405420
22	2.32	97405420
23	3.01	97405420
24	4.93	97405420
25	2.08	97405420
26	4.46	97405420
27	1.53	97405420
28	2.9	97405420
29	2.48	97405420
30	1.73	97405420
31	1.38	97405420
32	1.58	97405420
33	2.73	97405420
34	8.14	97405420
35	3.11	97405420
36	2.51	97405420
1	3.04	97408510
2	3.13	97408510
3	7.42	97408510
4	8.74	97408510
5	7.01	97408510
6	10.86	97408510
7	3.07	97408510
8	4.9	97408510
9	0.95	97408510
10	0.55	97408510
11	0.55	97408510
12	2.63	97408510
13	0.73	97408510
14	0.33	97408510
15	2.18	97408510
16	0.05	97408510
17	0.01	97408510
18	0.11	97408510
19	0.24	97408510
20	0.69	97408510
21	0.36	97408510
22	0.23	97408510
23	0.11	97408510
24	0.76	97408510
25	0.98	97408510
26	0.22	97408510
27	0.09	97408510
28	0.97	97408510
29	0.48	97408510
30	0.72	97408510
31	0.43	97408510
32	1.99	97408510
33	0.59	97408510
34	4.01	97408510
35	3.03	97408510
36	1.59	97408510
1	2.49	97408540
2	6.03	97408540
3	6.38	97408540
4	7.61	97408540
5	3.4	97408540
6	10.48	97408540
7	6.39	97408540
8	4.28	97408540
9	2.46	97408540
10	1.75	97408540
11	0.87	97408540
12	2.35	97408540
13	3.61	97408540
14	1.63	97408540
15	0.72	97408540
16	0.24	97408540
17	0.43	97408540
18	0.73	97408540
19	0.21	97408540
20	0.36	97408540
21	0.16	97408540
22	1.51	97408540
23	0.99	97408540
24	0.81	97408540
25	1.09	97408540
26	0.39	97408540
27	0.19	97408540
28	0.21	97408540
29	0.56	97408540
30	0.7	97408540
31	0.66	97408540
32	0.65	97408540
33	1.36	97408540
34	8.15	97408540
35	2.49	97408540
36	5.22	97408540
1	7.21	97409210
2	4.7	97409210
3	6.29	97409210
4	3.27	97409210
5	13.45	97409210
6	12.21	97409210
7	15.24	97409210
8	8.08	97409210
9	11.13	97409210
10	4.19	97409210
11	9.35	97409210
12	11.73	97409210
13	3.04	97409210
14	3.47	97409210
15	2.25	97409210
16	2.63	97409210
17	2.63	97409210
18	4.01	97409210
19	3.66	97409210
20	3.34	97409210
21	2.61	97409210
22	3.03	97409210
23	3.21	97409210
24	2.53	97409210
25	2.11	97409210
26	0.99	97409210
27	3.24	97409210
28	1.41	97409210
29	4.1	97409210
30	2.31	97409210
31	2.23	97409210
32	2.85	97409210
33	3.06	97409210
34	4.54	97409210
35	6.98	97409210
36	3.1	97409210
1	7.76	97409220
2	7	97409220
3	8.94	97409220
4	9.75	97409220
5	13.35	97409220
6	11.04	97409220
7	9.97	97409220
8	9.08	97409220
9	9.01	97409220
10	5.48	97409220
11	6.32	97409220
12	7.87	97409220
13	6.03	97409220
14	4.19	97409220
15	4.15	97409220
16	3.06	97409220
17	3.86	97409220
18	3.11	97409220
19	4.09	97409220
20	5.17	97409220
21	3.3	97409220
22	3.34	97409220
23	4.17	97409220
24	3.33	97409220
25	2.42	97409220
26	2.67	97409220
27	2.69	97409220
28	1.72	97409220
29	3.38	97409220
30	2.26	97409220
31	1.87	97409220
32	3.12	97409220
33	3.01	97409220
34	7.67	97409220
35	5.89	97409220
36	6.34	97409220
1	9.38	97409235
2	6.92	97409235
3	11.76	97409235
4	15.7	97409235
5	11.95	97409235
6	10.97	97409235
7	11.73	97409235
8	8.96	97409235
9	6.9	97409235
10	6.68	97409235
11	4.71	97409235
12	7.34	97409235
13	5.98	97409235
14	5.51	97409235
15	5.43	97409235
16	3.86	97409235
17	4.59	97409235
18	3.01	97409235
19	4.82	97409235
20	7.44	97409235
21	3.8	97409235
22	4.37	97409235
23	4.38	97409235
24	3.88	97409235
25	3.65	97409235
26	3.95	97409235
27	2.58	97409235
28	2.07	97409235
29	2.44	97409235
30	2.89	97409235
31	1.71	97409235
32	3.51	97409235
33	2.76	97409235
34	9.47	97409235
35	7.54	97409235
36	7.22	97409235
1	12.14	97409240
2	10.73	97409240
3	13.76	97409240
4	12.46	97409240
5	15.93	97409240
6	11.93	97409240
7	12.64	97409240
8	9.63	97409240
9	8.06	97409240
10	9.5	97409240
11	8.21	97409240
12	6.71	97409240
13	9.52	97409240
14	7.53	97409240
15	6.49	97409240
16	4.03	97409240
17	5.21	97409240
18	5.38	97409240
19	6.56	97409240
20	7.37	97409240
21	4.61	97409240
22	5.46	97409240
23	5.21	97409240
24	5.85	97409240
25	4.49	97409240
26	5.52	97409240
27	3.41	97409240
28	2.68	97409240
29	4.21	97409240
30	3.06	97409240
31	3.42	97409240
32	4	97409240
33	5.23	97409240
34	8.64	97409240
35	8.47	97409240
36	7.55	97409240
1	11.03	97410202
2	8.43	97410202
3	11.29	97410202
4	11.17	97410202
5	16.29	97410202
6	11.3	97410202
7	13.41	97410202
8	9.39	97410202
9	9.7	97410202
10	8.71	97410202
11	8.97	97410202
12	8.25	97410202
13	8	97410202
14	6.11	97410202
15	5.57	97410202
16	3.94	97410202
17	4.45	97410202
18	5.28	97410202
19	5.42	97410202
20	5.32	97410202
21	3.44	97410202
22	4.58	97410202
23	4.75	97410202
24	3.52	97410202
25	3.23	97410202
26	5	97410202
27	3.66	97410202
28	2.17	97410202
29	3.26	97410202
30	3.34	97410202
31	2.59	97410202
32	3.28	97410202
33	4.86	97410202
34	7.09	97410202
35	7.61	97410202
36	7.4	97410202
1	9.7	97410234
2	7.83	97410234
3	10.86	97410234
4	10.39	97410234
5	14.82	97410234
6	12.02	97410234
7	13.46	97410234
8	8.7	97410234
9	10.28	97410234
10	8.05	97410234
11	9.97	97410234
12	10.2	97410234
13	9.46	97410234
14	5.64	97410234
15	5.39	97410234
16	4.61	97410234
17	4.84	97410234
18	4.1	97410234
19	4.72	97410234
20	6.23	97410234
21	3.98	97410234
22	4.72	97410234
23	5.68	97410234
24	3.64	97410234
25	4.17	97410234
26	3.93	97410234
27	3.75	97410234
28	2.17	97410234
29	4.34	97410234
30	2.91	97410234
31	2.32	97410234
32	3.94	97410234
33	3.75	97410234
34	9.57	97410234
35	8.31	97410234
36	5.31	97410234
1	-999	97410239
2	-999	97410239
3	-999	97410239
4	-999	97410239
5	-999	97410239
6	-999	97410239
7	-999	97410239
8	-999	97410239
9	-999	97410239
10	-999	97410239
11	-999	97410239
12	-999	97410239
13	-999	97410239
14	-999	97410239
15	-999	97410239
16	-999	97410239
17	-999	97410239
18	-999	97410239
19	-999	97410239
20	-999	97410239
21	-999	97410239
22	-999	97410239
23	-999	97410239
24	-999	97410239
25	-999	97410239
26	-999	97410239
27	-999	97410239
28	-999	97410239
29	-999	97410239
30	-999	97410239
31	-999	97410239
32	-999	97410239
33	-999	97410239
34	-999	97410239
35	-999	97410239
36	-999	97410239
1	15.82	97410250
2	15.23	97410250
3	16.1	97410250
4	20.76	97410250
5	23	97410250
6	18.14	97410250
7	17.74	97410250
8	16.04	97410250
9	10.91	97410250
10	11.81	97410250
11	15.35	97410250
12	13.34	97410250
13	14.86	97410250
14	9.67	97410250
15	8.49	97410250
16	7.43	97410250
17	7.05	97410250
18	8.48	97410250
19	9.13	97410250
20	10.81	97410250
21	7.23	97410250
22	9.48	97410250
23	9.76	97410250
24	9.9	97410250
25	9.31	97410250
26	8.69	97410250
27	6.65	97410250
28	7.2	97410250
29	9.16	97410250
30	8.3	97410250
31	5.78	97410250
32	6.11	97410250
33	8.18	97410250
34	13.6	97410250
35	10.84	97410250
36	9.92	97410250
1	14.85	97410262
2	13.08	97410262
3	14.54	97410262
4	19.7	97410262
5	21.16	97410262
6	16.8	97410262
7	18.68	97410262
8	13.97	97410262
9	11.79	97410262
10	10.18	97410262
11	13.05	97410262
12	12.77	97410262
13	12.44	97410262
14	8.98	97410262
15	7.53	97410262
