decade	rainfallmeand	wscode
17	0.04	97413555
18	1.41	97413555
19	0.61	97413555
20	1.33	97413555
21	0.56	97413555
22	0.18	97413555
23	0.15	97413555
24	0.42	97413555
25	0.61	97413555
26	0.7	97413555
27	0.13	97413555
28	0.6	97413555
29	0.74	97413555
30	0.49	97413555
31	0.38	97413555
32	0.33	97413555
33	0.18	97413555
34	1.38	97413555
35	1.38	97413555
36	1.35	97413555
1	6.07	97413566
2	5.45	97413566
3	6.77	97413566
4	9.53	97413566
5	6.26	97413566
6	4.86	97413566
7	6.77	97413566
8	3.94	97413566
9	4.09	97413566
10	4.28	97413566
11	4.1	97413566
12	3.35	97413566
13	2.11	97413566
14	2.43	97413566
15	2.07	97413566
16	2.59	97413566
17	2.21	97413566
18	2.1	97413566
19	2.06	97413566
20	1.35	97413566
21	1.53	97413566
22	1	97413566
23	2.13	97413566
24	2.23	97413566
25	1.81	97413566
26	1.64	97413566
27	1.22	97413566
28	1.98	97413566
29	1.11	97413566
30	2.11	97413566
31	1.98	97413566
32	2.7	97413566
33	3.16	97413566
34	4.9	97413566
35	4.54	97413566
36	4.53	97413566
1	5.35	97414408
2	3.73	97414408
3	6.37	97414408
4	6.21	97414408
5	6.58	97414408
6	9.76	97414408
7	6.74	97414408
8	3.11	97414408
9	2.38	97414408
10	6.4	97414408
11	2.89	97414408
12	3.14	97414408
13	3.64	97414408
14	2.12	97414408
15	0.88	97414408
16	2.76	97414408
17	0.69	97414408
18	2.18	97414408
19	2.14	97414408
20	2.27	97414408
21	2.47	97414408
22	0.46	97414408
23	0.45	97414408
24	2.03	97414408
25	2.05	97414408
26	2.69	97414408
27	0.65	97414408
28	2.09	97414408
29	1.35	97414408
30	2.26	97414408
31	1.42	97414408
32	1.19	97414408
33	2.57	97414408
34	8.83	97414408
35	4.24	97414408
36	3.48	97414408
1	4.38	97414416
2	3.53	97414416
3	4.03	97414416
4	5.17	97414416
5	5.92	97414416
6	8.62	97414416
7	5.49	97414416
8	3.79	97414416
9	2.71	97414416
10	4.35	97414416
11	4.14	97414416
12	2.02	97414416
13	3.61	97414416
14	1.04	97414416
15	1.15	97414416
16	3.45	97414416
17	0.46	97414416
18	2.65	97414416
19	2.12	97414416
20	1.97	97414416
21	1.49	97414416
22	0.39	97414416
23	0.9	97414416
24	2.53	97414416
25	1.11	97414416
26	0.94	97414416
27	0.13	97414416
28	2.19	97414416
29	0.49	97414416
30	1.32	97414416
31	1.29	97414416
32	1.01	97414416
33	1.81	97414416
34	4.02	97414416
35	2.66	97414416
36	4.19	97414416
1	1.11	97414440
2	2.29	97414440
3	4.11	97414440
4	4.79	97414440
5	3.37	97414440
6	5.62	97414440
7	5.22	97414440
8	1.5	97414440
9	2.98	97414440
10	2.69	97414440
11	2.19	97414440
12	2.01	97414440
13	3.04	97414440
14	0.6	97414440
15	0.73	97414440
16	2.11	97414440
17	0.42	97414440
18	1.05	97414440
19	1.48	97414440
20	1.68	97414440
21	1	97414440
22	0.28	97414440
23	0.58	97414440
24	1.09	97414440
25	0.56	97414440
26	0.58	97414440
27	0.18	97414440
28	0.59	97414440
29	0.25	97414440
30	0.42	97414440
31	0.59	97414440
32	0.38	97414440
33	1.28	97414440
34	3.85	97414440
35	1.42	97414440
36	2.14	97414440
1	2.35	97414456
2	1.12	97414456
3	2.34	97414456
4	2.56	97414456
5	2.01	97414456
6	5.49	97414456
7	4.04	97414456
8	1.91	97414456
9	2.31	97414456
10	2.76	97414456
11	1.37	97414456
12	1.87	97414456
13	2.12	97414456
14	0.58	97414456
15	0.63	97414456
16	1.95	97414456
17	0.4	97414456
18	1.33	97414456
19	1.21	97414456
20	1.31	97414456
21	0.67	97414456
22	0.33	97414456
23	0.56	97414456
24	0.83	97414456
25	0.33	97414456
26	0.24	97414456
27	0.1	97414456
28	0.41	97414456
29	0.36	97414456
30	0.55	97414456
31	0.27	97414456
32	0.36	97414456
33	1.78	97414456
34	1.82	97414456
35	0.56	97414456
36	1.6	97414456
1	2.27	97414462
2	1.69	97414462
3	2.46	97414462
4	3.93	97414462
5	2.79	97414462
6	5.33	97414462
7	4.61	97414462
8	1	97414462
9	2.76	97414462
10	3.07	97414462
11	2.04	97414462
12	2.39	97414462
13	2.08	97414462
14	0.79	97414462
15	0.72	97414462
16	2.3	97414462
17	0.35	97414462
18	1.67	97414462
19	1.2	97414462
20	1.41	97414462
21	0.92	97414462
22	0.37	97414462
23	0.63	97414462
24	0.9	97414462
25	0.58	97414462
26	0.63	97414462
27	0.06	97414462
28	0.56	97414462
29	0.49	97414462
30	0.53	97414462
31	0.27	97414462
32	0.59	97414462
33	1.56	97414462
34	2.41	97414462
35	0.98	97414462
36	2.03	97414462
1	5.18	97415516
2	6.16	97415516
3	5.23	97415516
4	6.81	97415516
5	7.23	97415516
6	4.91	97415516
7	5.23	97415516
8	3.87	97415516
9	2.72	97415516
10	3.07	97415516
11	2.55	97415516
12	3.47	97415516
13	1.45	97415516
14	1.34	97415516
15	1.33	97415516
16	0.87	97415516
17	0.6	97415516
18	0.76	97415516
19	0.72	97415516
20	0.39	97415516
21	0.29	97415516
22	0.37	97415516
23	0.55	97415516
24	0.86	97415516
25	0.6	97415516
26	0.33	97415516
27	0.24	97415516
28	0.61	97415516
29	0.6	97415516
30	0.61	97415516
31	1.26	97415516
32	1.33	97415516
33	1.9	97415516
34	1.94	97415516
35	4.96	97415516
36	4.14	97415516
1	4.33	97415522
2	4.94	97415522
3	5.14	97415522
4	6.56	97415522
5	5.96	97415522
6	4.44	97415522
7	4.82	97415522
8	3.57	97415522
9	2.66	97415522
10	2.5	97415522
11	1.88	97415522
12	2.11	97415522
13	0.95	97415522
14	1.46	97415522
15	0.98	97415522
16	0.83	97415522
17	0.5	97415522
18	0.84	97415522
19	0.77	97415522
20	0.3	97415522
21	0.24	97415522
22	0.3	97415522
23	0.35	97415522
24	0.68	97415522
25	0.88	97415522
26	0.4	97415522
27	0.29	97415522
28	0.37	97415522
29	0.79	97415522
30	0.9	97415522
31	1.36	97415522
32	1.36	97415522
33	1.75	97415522
34	2.49	97415522
35	4.13	97415522
36	3.45	97415522
1	6.05	97415541
2	4.55	97415541
3	6.03	97415541
4	7.31	97415541
5	6.51	97415541
6	5.4	97415541
7	6.18	97415541
8	4.46	97415541
9	2.89	97415541
10	2.78	97415541
11	2.48	97415541
12	2.36	97415541
13	1.1	97415541
14	1.52	97415541
15	0.99	97415541
16	1.14	97415541
17	0.77	97415541
18	0.82	97415541
19	0.74	97415541
20	0.61	97415541
21	0.43	97415541
22	0.12	97415541
23	0.37	97415541
24	0.8	97415541
25	0.94	97415541
26	0.53	97415541
27	0.41	97415541
28	0.73	97415541
29	0.82	97415541
30	0.85	97415541
31	1.95	97415541
32	1.67	97415541
33	1.85	97415541
34	2.76	97415541
35	5.1	97415541
36	4.38	97415541
1	0.92	97415544
2	2.92	97415544
3	2.52	97415544
4	2.72	97415544
5	3.64	97415544
6	4.52	97415544
7	2.34	97415544
8	1.4	97415544
9	2.3	97415544
10	1.09	97415544
11	0.26	97415544
12	0.88	97415544
13	0.36	97415544
14	0.48	97415544
15	0.38	97415544
16	0.54	97415544
17	0.16	97415544
18	0.04	97415544
19	0.05	97415544
20	0.08	97415544
21	0.11	97415544
22	0.2	97415544
23	0.2	97415544
24	0.23	97415544
25	0.11	97415544
26	0	97415544
27	0.05	97415544
28	0.08	97415544
29	0.51	97415544
30	0.35	97415544
31	0.36	97415544
32	0.13	97415544
33	0.66	97415544
34	3.08	97415544
35	1.45	97415544
36	1.76	97415544
1	1.45	97415551
2	2.66	97415551
3	4.06	97415551
4	3.96	97415551
5	6.33	97415551
6	5.12	97415551
7	3.98	97415551
8	1.98	97415551
9	1.72	97415551
10	0.84	97415551
11	1.26	97415551
12	0.99	97415551
13	1	97415551
14	0.93	97415551
15	0.56	97415551
16	0.43	97415551
17	0.41	97415551
18	0.32	97415551
19	0.42	97415551
20	0.21	97415551
21	0.33	97415551
22	0.05	97415551
23	0.22	97415551
24	0.8	97415551
25	0.33	97415551
26	0.19	97415551
27	0.14	97415551
28	0.32	97415551
29	0.5	97415551
30	0.34	97415551
31	0.5	97415551
32	0.43	97415551
33	1.19	97415551
34	2.67	97415551
35	2.6	97415551
36	2.48	97415551
1	3.43	97415557
2	2.36	97415557
3	4.69	97415557
4	5.47	97415557
5	2.75	97415557
6	8.17	97415557
7	6.49	97415557
8	3.5	97415557
9	0.92	97415557
10	1.46	97415557
11	0.67	97415557
12	1.59	97415557
13	1.44	97415557
14	1.46	97415557
15	0.55	97415557
16	0.32	97415557
17	0.57	97415557
18	0.33	97415557
19	0.06	97415557
20	0.52	97415557
21	0.16	97415557
22	0.13	97415557
23	0.47	97415557
24	0.95	97415557
25	1.6	97415557
26	0.53	97415557
27	0.15	97415557
28	0.34	97415557
29	0.9	97415557
30	0.7	97415557
31	0.69	97415557
32	1.43	97415557
33	1.63	97415557
34	5.09	97415557
35	3.88	97415557
36	3.66	97415557
1	-999	97415579
2	-999	97415579
3	-999	97415579
4	-999	97415579
5	-999	97415579
6	-999	97415579
7	-999	97415579
8	-999	97415579
9	-999	97415579
10	-999	97415579
11	-999	97415579
12	-999	97415579
13	-999	97415579
14	-999	97415579
15	-999	97415579
16	-999	97415579
17	-999	97415579
18	-999	97415579
19	-999	97415579
20	-999	97415579
21	-999	97415579
22	-999	97415579
23	-999	97415579
24	-999	97415579
25	-999	97415579
26	-999	97415579
27	-999	97415579
28	-999	97415579
29	-999	97415579
30	-999	97415579
31	-999	97415579
32	-999	97415579
33	-999	97415579
34	-999	97415579
35	-999	97415579
36	-999	97415579
1	3.37	97415581
2	2.27	97415581
3	4.36	97415581
4	3.49	97415581
5	3.91	97415581
6	4.41	97415581
7	4.16	97415581
8	2.61	97415581
9	2.17	97415581
10	1.11	97415581
11	1.93	97415581
12	1.17	97415581
13	1.48	97415581
14	1	97415581
15	0.32	97415581
16	0.68	97415581
17	0.31	97415581
18	0.32	97415581
19	0.16	97415581
20	0.58	97415581
21	0.17	97415581
22	0.04	97415581
23	0.37	97415581
24	0.75	97415581
25	0.8	97415581
26	0.3	97415581
27	0.6	97415581
28	0.53	97415581
29	0.31	97415581
30	0.9	97415581
31	0.88	97415581
32	0.59	97415581
33	0.97	97415581
34	2.44	97415581
35	2.05	97415581
36	3.08	97415581
1	6.94	97417340
2	6.79	97417340
3	11.45	97417340
4	9.22	97417340
5	11.76	97417340
6	16.56	97417340
7	14.99	97417340
8	11.35	97417340
9	11.99	97417340
10	12.46	97417340
11	10.14	97417340
12	14.18	97417340
13	12.72	97417340
14	7.44	97417340
15	6.8	97417340
16	9.67	97417340
17	7.75	97417340
18	6.45	97417340
19	8.89	97417340
20	8.53	97417340
21	6.05	97417340
22	6.66	97417340
23	8.2	97417340
24	7.01	97417340
25	6.11	97417340
26	5.88	97417340
27	5.52	97417340
28	5.38	97417340
29	5.82	97417340
30	6.36	97417340
31	5.17	97417340
32	5.03	97417340
33	4.99	97417340
34	8.9	97417340
35	7.34	97417340
36	6.64	97417340
1	9.13	97417380
2	5.88	97417380
3	7.67	97417380
4	11.32	97417380
5	10.78	97417380
6	12.12	97417380
7	14.28	97417380
8	8.35	97417380
9	9.85	97417380
10	11.96	97417380
11	9.22	97417380
12	10.66	97417380
13	11.18	97417380
14	5.02	97417380
15	5.95	97417380
16	7.37	97417380
17	5.84	97417380
18	8.99	97417380
19	7.42	97417380
20	9.09	97417380
21	5.54	97417380
22	6.31	97417380
23	6.75	97417380
24	5.95	97417380
25	5.62	97417380
26	5.89	97417380
27	5.48	97417380
28	3.8	97417380
29	4.74	97417380
30	5.59	97417380
31	4.12	97417380
32	3.06	97417380
33	4.3	97417380
34	7.51	97417380
35	7.67	97417380
36	5.88	97417380
1	0.67	97418140
2	1.98	97418140
3	1.76	97418140
4	1.19	97418140
5	11.09	97418140
6	0	97418140
7	3.69	97418140
8	4.07	97418140
9	1.15	97418140
10	0	97418140
11	0	97418140
12	0	97418140
13	0	97418140
14	0	97418140
15	0	97418140
16	0	97418140
17	0	97418140
18	0	97418140
19	0	97418140
20	1	97418140
21	0.42	97418140
22	1.2	97418140
23	1.1	97418140
24	0.97	97418140
25	0.06	97418140
26	0.38	97418140
27	0.57	97418140
28	0	97418140
29	0.2	97418140
30	0	97418140
31	0.72	97418140
32	0.45	97418140
33	0	97418140
34	2.6	97418140
35	0.38	97418140
36	2.55	97418140
1	9.07	97418150
2	7.07	97418150
3	8.41	97418150
4	10.2	97418150
5	12.58	97418150
6	10.35	97418150
7	10.1	97418150
8	8.87	97418150
9	6.41	97418150
10	6.65	97418150
11	6.82	97418150
12	6.23	97418150
13	8.92	97418150
14	4.99	97418150
15	3.98	97418150
16	2.75	97418150
17	2.66	97418150
18	4.48	97418150
19	4.2	97418150
20	4.33	97418150
21	2.51	97418150
22	3.53	97418150
23	4.04	97418150
24	3.42	97418150
25	3.28	97418150
26	4.05	97418150
27	2.77	97418150
28	1.55	97418150
29	3.8	97418150
30	2.33	97418150
31	1.79	97418150
32	2.27	97418150
33	3.46	97418150
34	7.74	97418150
35	6.06	97418150
36	6.15	97418150
1	5.07	97418160
2	5.22	97418160
3	7.26	97418160
4	9.18	97418160
5	12.1	97418160
6	10.96	97418160
7	7.51	97418160
8	7.11	97418160
9	4.05	97418160
10	2.42	97418160
11	4.26	97418160
12	3.39	97418160
13	4.61	97418160
14	2.03	97418160
15	2.06	97418160
16	1.81	97418160
17	1.45	97418160
18	2.01	97418160
19	1.55	97418160
20	1.92	97418160
21	1.06	97418160
22	2.07	97418160
23	2.07	97418160
24	1.37	97418160
25	1.52	97418160
26	1.56	97418160
27	1.07	97418160
28	1.43	97418160
29	1.85	97418160
30	1.54	97418160
31	0.94	97418160
32	1.78	97418160
33	3	97418160
34	6.89	97418160
35	5.24	97418160
36	4.9	97418160
1	4.93	97418165
2	8.23	97418165
3	10.3	97418165
4	14.52	97418165
5	8.63	97418165
6	11.68	97418165
7	5.02	97418165
8	8.59	97418165
9	3.67	97418165
10	2.91	97418165
11	4.26	97418165
12	2.99	97418165
13	4.62	97418165
14	2.56	97418165
15	2.79	97418165
16	1.09	97418165
17	2.15	97418165
18	1.04	97418165
19	1.89	97418165
20	2.15	97418165
21	0.47	97418165
22	2.92	97418165
23	1.43	97418165
24	1.48	97418165
25	2.55	97418165
26	2.07	97418165
27	1.2	97418165
28	1.91	97418165
29	1.18	97418165
30	1.54	97418165
31	1.37	97418165
32	2.69	97418165
33	1.69	97418165
34	10.05	97418165
35	5.18	97418165
36	7.72	97418165
1	7.11	97418170
2	11.05	97418170
3	13.51	97418170
4	19.58	97418170
5	14.9	97418170
6	14.35	97418170
7	5.11	97418170
8	9.05	97418170
9	3.7	97418170
10	8.65	97418170
11	10.03	97418170
12	3	97418170
13	15.33	97418170
14	10.49	97418170
15	7.39	97418170
16	3.06	97418170
17	6.86	97418170
18	2.78	97418170
19	3.14	97418170
20	5.41	97418170
21	1.39	97418170
22	3.93	97418170
23	6.93	97418170
24	2.18	97418170
25	4.2	97418170
26	5.1	97418170
27	1.46	97418170
28	2.19	97418170
29	2.63	97418170
30	2.52	97418170
31	1.12	97418170
32	1.15	97418170
33	4.05	97418170
34	16.32	97418170
35	5.7	97418170
36	14.15	97418170
1	12.73	97419310
2	10.76	97419310
3	13.44	97419310
4	13.27	97419310
5	19.74	97419310
6	17.7	97419310
7	16.07	97419310
8	11.85	97419310
9	13.67	97419310
10	10.23	97419310
11	11.79	97419310
12	12.65	97419310
13	11.24	97419310
14	8.53	97419310
15	8.48	97419310
16	7.73	97419310
17	7.5	97419310
18	6.49	97419310
19	8.69	97419310
20	11.28	97419310
21	7.65	97419310
22	8.45	97419310
23	8.07	97419310
24	7.6	97419310
25	6.16	97419310
26	6.48	97419310
27	5.34	97419310
28	3.91	97419310
29	6.99	97419310
30	5.24	97419310
31	4.2	97419310
32	5.37	97419310
33	5.68	97419310
34	11.36	97419310
35	8.95	97419310
36	7.06	97419310
1	21.15	97419320
2	24.23	97419320
3	21.81	97419320
4	27.07	97419320
5	33.15	97419320
6	25.05	97419320
7	20.18	97419320
8	21.09	97419320
9	22.69	97419320
10	19.06	97419320
11	16.48	97419320
12	19.01	97419320
13	14.84	97419320
14	18.17	97419320
15	18.44	97419320
16	23.9	97419320
17	13.42	97419320
18	13.61	97419320
19	15.84	97419320
20	41.17	97419320
21	19.94	97419320
22	20.3	97419320
23	3.43	97419320
24	16.85	97419320
25	7.32	97419320
26	11.31	97419320
27	18.16	97419320
28	12.2	97419320
29	7.92	97419320
30	2.6	97419320
31	4.86	97419320
32	10.92	97419320
33	6.35	97419320
34	16.43	97419320
35	16.13	97419320
36	9.96	97419320
1	7.99	97420110
2	8.46	97420110
3	8.27	97420110
4	10.92	97420110
5	8.71	97420110
6	9.06	97420110
7	9.37	97420110
8	8.46	97420110
9	7.43	97420110
10	5.2	97420110
11	5.4	97420110
12	7.25	97420110
13	4.2	97420110
14	3.73	97420110
15	3.84	97420110
16	4.05	97420110
17	3.41	97420110
18	3.6	97420110
19	3.82	97420110
20	3.66	97420110
21	3.93	97420110
22	3.53	97420110
23	3.26	97420110
24	3.15	97420110
25	2.65	97420110
26	2.49	97420110
27	2.12	97420110
28	1.96	97420110
29	2.86	97420110
30	1.9	97420110
31	1.88	97420110
32	2.84	97420110
33	3.86	97420110
34	4.59	97420110
35	6.48	97420110
36	5.52	97420110
1	6.8	97420120
2	6.2	97420120
3	7.45	97420120
4	10.55	97420120
5	12.36	97420120
6	10.05	97420120
7	9.05	97420120
8	9.1	97420120
9	6.17	97420120
10	4.1	97420120
11	5.98	97420120
12	6.09	97420120
13	5.17	97420120
14	4.05	97420120
15	3.21	97420120
16	2.48	97420120
17	3.1	97420120
18	2.92	97420120
19	4.15	97420120
20	4.63	97420120
21	2.3	97420120
22	2.89	97420120
23	2.97	97420120
24	2.75	97420120
25	1.94	97420120
26	1.59	97420120
27	1.67	97420120
28	1.29	97420120
29	2.46	97420120
30	1.57	97420120
31	1.45	97420120
32	2.27	97420120
33	2.85	97420120
34	6.58	97420120
35	4.32	97420120
36	4.88	97420120
1	9.52	97420150
2	7.12	97420150
3	9.53	97420150
4	9.51	97420150
5	14.78	97420150
6	10.14	97420150
7	12.05	97420150
8	8.7	97420150
9	7.51	97420150
10	7.24	97420150
11	8.2	97420150
12	6.24	97420150
13	7.75	97420150
14	5.83	97420150
15	4.43	97420150
16	3.43	97420150
17	3.65	97420150
18	4.78	97420150
19	4.61	97420150
20	4.37	97420150
21	3.22	97420150
22	3.79	97420150
23	4.43	97420150
24	4.15	97420150
25	3.52	97420150
26	4.58	97420150
27	3.57	97420150
28	2.11	97420150
29	3.71	97420150
30	2.86	97420150
31	1.99	97420150
32	2.62	97420150
33	5.1	97420150
34	6.91	97420150
35	6.56	97420150
36	6.59	97420150
1	-999	97420160
2	-999	97420160
3	-999	97420160
4	-999	97420160
5	-999	97420160
6	-999	97420160
7	-999	97420160
8	-999	97420160
9	-999	97420160
10	-999	97420160
11	-999	97420160
12	-999	97420160
13	-999	97420160
14	-999	97420160
15	-999	97420160
16	-999	97420160
17	-999	97420160
18	-999	97420160
19	-999	97420160
20	-999	97420160
21	-999	97420160
22	-999	97420160
23	-999	97420160
24	-999	97420160
25	-999	97420160
26	-999	97420160
27	-999	97420160
28	-999	97420160
29	-999	97420160
30	-999	97420160
31	-999	97420160
32	-999	97420160
33	-999	97420160
34	-999	97420160
35	-999	97420160
36	-999	97420160
1	11.45	97421210
2	8.91	97421210
3	11.17	97421210
4	14.38	97421210
5	9.21	97421210
6	14.85	97421210
7	10.28	97421210
8	6.38	97421210
9	3.52	97421210
10	4.25	97421210
11	6.92	97421210
12	1.97	97421210
13	6.76	97421210
14	4.12	97421210
15	3.62	97421210
16	2.66	97421210
17	3.82	97421210
18	2.44	97421210
19	1.72	97421210
20	2.54	97421210
21	2.05	97421210
22	3.22	97421210
23	2.37	97421210
24	1.41	97421210
25	2.05	97421210
26	2.68	97421210
27	0.95	97421210
28	0.44	97421210
29	2.97	97421210
30	0.88	97421210
31	0.57	97421210
32	2.55	97421210
33	2.24	97421210
34	8.32	97421210
35	1.4	97421210
36	4.04	97421210
1	11.65	97421270
2	10.6	97421270
3	11.97	97421270
4	14.78	97421270
5	10.95	97421270
6	16.09	97421270
7	11.49	97421270
8	6.82	97421270
9	4.65	97421270
10	5.39	97421270
11	6.61	97421270
12	2.44	97421270
13	8.16	97421270
14	5.14	97421270
15	3.61	97421270
16	2.68	97421270
17	4.1	97421270
18	3.25	97421270
19	2.28	97421270
20	3.93	97421270
21	1.78	97421270
22	3.38	97421270
23	5.24	97421270
24	2.03	97421270
25	2.6	97421270
26	2.56	97421270
27	0.9	97421270
28	0.83	97421270
29	3.43	97421270
30	2.03	97421270
31	2.34	97421270
32	2.69	97421270
33	3.09	97421270
34	9.13	97421270
35	3.68	97421270
36	7.18	97421270
1	3.74	97422455
2	2.91	97422455
3	6.43	97422455
4	4.94	97422455
5	7.08	97422455
6	7.76	97422455
7	7.65	97422455
8	2.96	97422455
9	2.93	97422455
10	3.4	97422455
11	2.48	97422455
12	2.44	97422455
13	3.32	97422455
14	1.45	97422455
15	1.06	97422455
16	2.13	97422455
17	0.74	97422455
18	1.23	97422455
19	1.7	97422455
20	2.76	97422455
21	1.03	97422455
22	0.38	97422455
23	1.13	97422455
24	0.95	97422455
25	1.92	97422455
26	0.75	97422455
27	0.15	97422455
28	1.42	97422455
29	0.82	97422455
30	0.82	97422455
31	0.51	97422455
32	0.77	97422455
33	1.31	97422455
34	4.21	97422455
35	2.86	97422455
36	2.4	97422455
1	2.85	97422465
2	2.77	97422465
3	7	97422465
4	6.32	97422465
5	9.2	97422465
6	13.44	97422465
7	7.3	97422465
8	2.99	97422465
9	1.25	97422465
10	4.8	97422465
11	3.84	97422465
12	3.15	97422465
13	3.25	97422465
14	1.37	97422465
15	1.33	97422465
16	1.02	97422465
17	0.35	97422465
18	1.03	97422465
19	1.99	97422465
20	2.61	97422465
21	1.39	97422465
22	0.45	97422465
23	0.53	97422465
24	0.81	97422465
25	1.24	97422465
26	1.16	97422465
27	0.28	97422465
28	1.47	97422465
29	0.61	97422465
30	1.04	97422465
31	0.38	97422465
32	0.97	97422465
33	2.11	97422465
34	4.77	97422465
35	1.36	97422465
36	0.59	97422465
1	4.77	97422480
2	2.85	97422480
3	5.33	97422480
4	6.79	97422480
5	6.99	97422480
6	8.79	97422480
7	7.71	97422480
8	2.64	97422480
9	4.53	97422480
10	6.54	97422480
11	3.36	97422480
12	2.62	97422480
13	3.92	97422480
14	2.76	97422480
15	1.1	97422480
16	5.31	97422480
17	1.69	97422480
18	4.62	97422480
19	4.72	97422480
20	5.23	97422480
21	2.44	97422480
22	1.98	97422480
23	1.85	97422480
24	2.54	97422480
25	1.55	97422480
26	2.15	97422480
27	0.26	97422480
28	1.91	97422480
29	1.48	97422480
30	1.73	97422480
31	1.5	97422480
32	0.58	97422480
33	2.38	97422480
34	4.88	97422480
35	2.55	97422480
36	1.8	97422480
1	6.42	97423520
2	5.67	97423520
3	6.05	97423520
4	7.53	97423520
5	7.12	97423520
6	5.42	97423520
7	6.67	97423520
8	3.67	97423520
9	3.2	97423520
10	2.86	97423520
11	2.3	97423520
12	2.53	97423520
13	1.4	97423520
14	1.6	97423520
15	1.29	97423520
16	1.29	97423520
17	0.92	97423520
18	1.11	97423520
19	0.86	97423520
20	0.62	97423520
21	0.51	97423520
22	0.29	97423520
23	0.52	97423520
24	0.95	97423520
25	1.46	97423520
26	0.68	97423520
27	0.51	97423520
28	1.17	97423520
29	1.06	97423520
30	1.19	97423520
31	2.06	97423520
32	2.38	97423520
33	2.37	97423520
34	3.34	97423520
35	4.85	97423520
36	4.32	97423520
1	8.44	97424410
2	4.64	97424410
3	3.34	97424410
4	7.76	97424410
5	4.53	97424410
6	15.47	97424410
7	7.85	97424410
8	3.3	97424410
9	1.56	97424410
10	4.77	97424410
11	2.25	97424410
12	3.23	97424410
13	3.96	97424410
14	2.18	97424410
15	0.76	97424410
16	1.57	97424410
17	1.02	97424410
18	0.91	97424410
19	1.12	97424410
20	1.1	97424410
21	0.79	97424410
22	1.52	97424410
23	1.34	97424410
24	1.04	97424410
25	0.87	97424410
26	0.84	97424410
27	0.29	97424410
28	0.36	97424410
29	0.81	97424410
30	1.68	97424410
31	0.78	97424410
32	0.57	97424410
33	2.29	97424410
34	6.33	97424410
35	2.7	97424410
36	3.94	97424410
1	8.46	97424460
2	3.4	97424460
3	4.65	97424460
4	6.41	97424460
5	4.16	97424460
6	15.95	97424460
7	6.26	97424460
8	2.73	97424460
9	0.61	97424460
10	7.64	97424460
11	0.77	97424460
12	3.15	97424460
13	2.48	97424460
14	1.44	97424460
15	0.17	97424460
16	1.19	97424460
17	0.31	97424460
18	0.58	97424460
19	1.99	97424460
20	0.55	97424460
21	1.98	97424460
22	1	97424460
23	0.7	97424460
24	0.64	97424460
25	0.49	97424460
26	0.36	97424460
27	0.04	97424460
28	0.04	97424460
29	0.5	97424460
30	0.89	97424460
31	0.53	97424460
32	1.7	97424460
33	1.18	97424460
34	6.28	97424460
35	1.58	97424460
36	2.8	97424460
