obsplantdate;obsplantlib;obsplantval;varcyclecode
15/02/2005;mstu;0.73777;BCSU-0-0-IRR-R570
15/02/2005;nblts;12.459;BCSU-0-0-IRR-R570
15/02/2005;nblvs;5.417;BCSU-0-0-IRR-R570
15/02/2005;nbtigv;6.468;BCSU-0-0-IRR-R570
15/02/2005;nbtv;6.468;BCSU-0-0-IRR-R570
07/03/2005;htvds;59.917;BCSU-0-0-IRR-R570
07/03/2005;lai;1.817;BCSU-0-0-IRR-R570
07/03/2005;mftu;16.19;BCSU-0-0-IRR-R570
17/08/2009;mftu;177.68889;DSES-0-0-AAA-R579
07/03/2005;mslv;1.82823;BCSU-0-0-IRR-R570
07/03/2005;mstu;5.68942;BCSU-0-0-IRR-R570
07/03/2005;nblts;15.5;BCSU-0-0-IRR-R570
07/03/2005;nblvs;7.125;BCSU-0-0-IRR-R570
07/03/2005;nbtigv;7.579;BCSU-0-0-IRR-R570
07/03/2005;nbtv;7.579;BCSU-0-0-IRR-R570
11/04/2005;htvds;115.792;BCSU-0-0-IRR-R570
11/04/2005;nblts;20.208;BCSU-0-0-IRR-R570
11/04/2005;nblvs;7.875;BCSU-0-0-IRR-R570
11/04/2005;nbtv;7.738;BCSU-0-0-IRR-R570
31/05/2005;htvds;171.125;BCSU-0-0-IRR-R570
31/05/2005;lai;5.168;BCSU-0-0-IRR-R570
19/10/2009;mftu;190.05556;DSES-0-0-AAA-R579
31/05/2005;mslv;5.31001;BCSU-0-0-IRR-R570
31/05/2005;mstu;24.16715;BCSU-0-0-IRR-R570
31/05/2005;nblts;24.333;BCSU-0-0-IRR-R570
31/05/2005;nblvs;5.583;BCSU-0-0-IRR-R570
31/05/2005;nbtigv;6.27;BCSU-0-0-IRR-R570
31/05/2005;nbtv;6.27;BCSU-0-0-IRR-R570
27/07/2005;htvds;201;BCSU-0-0-IRR-R570
03/02/2009;mftu;39.97222;DSES-0-0-AAA-R585
27/07/2005;mslv;6.14095;BCSU-0-0-IRR-R570
27/07/2005;mstu;29.28563;BCSU-0-0-IRR-R570
27/07/2005;nblts;27.541;BCSU-0-0-IRR-R570
27/07/2005;nblvs;5.833;BCSU-0-0-IRR-R570
27/07/2005;nbtigv;6.23;BCSU-0-0-IRR-R570
27/07/2005;nbtv;6.23;BCSU-0-0-IRR-R570
27/09/2005;htvds;218.208;BCSU-0-0-IRR-R570
27/09/2005;lai;4.617;BCSU-0-0-IRR-R570
27/09/2005;mftu;110.833;BCSU-0-0-IRR-R570
06/04/2009;mftu;82;DSES-0-0-AAA-R585
27/09/2005;mslv;6.82829;BCSU-0-0-IRR-R570
27/09/2005;mstu;30.50492;BCSU-0-0-IRR-R570
27/09/2005;nblts;32;BCSU-0-0-IRR-R570
27/09/2005;nblvs;6.917;BCSU-0-0-IRR-R570
27/09/2005;nbtigv;6.349;BCSU-0-0-IRR-R570
27/09/2005;nbtv;6.349;BCSU-0-0-IRR-R570
10/12/2004;htvds;8.029;BCSU-0-0-IRR-RB72454
10/12/2004;lai;0.039;BCSU-0-0-IRR-RB72454
10/12/2004;mftu;0;BCSU-0-0-IRR-RB72454
03/06/2009;mftu;121.2;DSES-0-0-AAA-R585
10/12/2004;mslv;0.06167;BCSU-0-0-IRR-RB72454
10/12/2004;mstu;0;BCSU-0-0-IRR-RB72454
10/12/2004;nbtigv;3.73;BCSU-0-0-IRR-RB72454
10/12/2004;nbtv;3.73;BCSU-0-0-IRR-RB72454
05/01/2005;htvds;26.313;BCSU-0-0-IRR-RB72454
05/01/2005;nblts;6.791;BCSU-0-0-IRR-RB72454
05/01/2005;nblvs;5.958;BCSU-0-0-IRR-RB72454
05/01/2005;nbtv;6.19;BCSU-0-0-IRR-RB72454
24/01/2005;htvds;52.958;BCSU-0-0-IRR-RB72454
24/01/2005;nblts;10.084;BCSU-0-0-IRR-RB72454
24/01/2005;nblvs;6.292;BCSU-0-0-IRR-RB72454
24/01/2005;nbtv;8.095;BCSU-0-0-IRR-RB72454
15/02/2005;htvds;85.375;BCSU-0-0-IRR-RB72454
17/08/2009;mftu;144.63333;DSES-0-0-AAA-R585
15/02/2005;mslv;2.21253;BCSU-0-0-IRR-RB72454
15/02/2005;mstu;8.22925;BCSU-0-0-IRR-RB72454
15/02/2005;nblts;12.417;BCSU-0-0-IRR-RB72454
15/02/2005;nblvs;5.417;BCSU-0-0-IRR-RB72454
15/02/2005;nbtigv;8.333;BCSU-0-0-IRR-RB72454
15/02/2005;nbtv;8.333;BCSU-0-0-IRR-RB72454
07/03/2005;htvds;105.625;BCSU-0-0-IRR-RB72454
07/03/2005;lai;3.114;BCSU-0-0-IRR-RB72454
07/03/2005;mftu;45.3;BCSU-0-0-IRR-RB72454
19/10/2009;mftu;159.95556;DSES-0-0-AAA-R585
07/03/2005;mslv;3.00942;BCSU-0-0-IRR-RB72454
07/03/2005;mstu;13.73478;BCSU-0-0-IRR-RB72454
07/03/2005;nblts;15.959;BCSU-0-0-IRR-RB72454
07/03/2005;nblvs;7.292;BCSU-0-0-IRR-RB72454
07/03/2005;nbtigv;7.738;BCSU-0-0-IRR-RB72454
07/03/2005;nbtv;7.738;BCSU-0-0-IRR-RB72454
11/04/2005;htvds;192.458;BCSU-0-0-IRR-RB72454
11/04/2005;nblts;20.583;BCSU-0-0-IRR-RB72454
11/04/2005;nblvs;8;BCSU-0-0-IRR-RB72454
11/04/2005;nbtv;7.857;BCSU-0-0-IRR-RB72454
31/05/2005;htvds;242.542;BCSU-0-0-IRR-RB72454
31/05/2005;lai;4.63;BCSU-0-0-IRR-RB72454
