treatcode	obsdate	swc1	swc2	swc3	swc4	swc5	swc6
TIR1-5-0-AAA-R570	1999-06-08	0.475	0.475	0.497	0.524	0.558	0.569
TIR1-5-0-AAA-R570	1999-06-13	0.462	0.462	0.487	0.523	0.567	0.572
TIR1-5-0-AAA-R570	1999-06-15	0.476	0.476	0.498	0.53	0.57	0.572
TIR1-5-0-AAA-R570	1999-06-20	0.458	0.458	0.483	0.519	0.558	0.566
TIR1-5-0-AAA-R570	1999-06-22	0.475	0.475	0.496	0.524	0.556	0.563
TIR1-5-0-AAA-R570	1999-06-24	0.466	0.466	0.492	0.52	0.556	0.563
TIR1-5-0-AAA-R570	1999-06-29	0.468	0.468	0.495	0.517	0.562	0.569
TIR1-5-0-AAA-R570	1999-07-01	0.47	0.47	0.495	0.515	0.556	0.564
TIR1-5-0-AAA-R570	1999-07-04	0.459	0.459	0.488	0.512	0.554	0.563
TIR1-5-0-AAA-R570	1999-07-08	0.475	0.475	0.503	0.525	0.574	0.58
TIR1-5-0-AAA-R570	1999-07-11	0.459	0.459	0.489	0.514	0.562	0.575
TIR1-5-0-AAA-R570	1999-07-15	0.473	0.473	0.498	0.516	0.556	0.565
TIR1-5-0-AAA-R570	1999-07-18	0.456	0.456	0.485	0.51	0.553	0.563
TIR1-5-0-AAA-R570	1999-07-20	0.491	0.491	0.508	0.525	0.562	0.567
TIR1-5-0-AAA-R570	1999-07-25	0.474	0.474	0.501	0.524	0.571	0.582
TIR1-5-0-AAA-R570	1999-07-27	0.461	0.461	0.491	0.517	0.564	0.575
TIR1-5-0-AAA-R570	1999-07-29	0.457	0.457	0.488	0.515	0.561	0.575
TIR1-5-0-AAA-R570	1999-08-01	0.459	0.459	0.486	0.511	0.554	0.565
TIR1-5-0-AAA-R570	1999-08-03	0.461	0.461	0.482	0.507	0.548	0.561
TIR1-5-0-AAA-R570	1999-08-08	0.471	0.471	0.499	0.519	0.556	0.562
TIR1-5-0-AAA-R570	1999-08-10	0.459	0.459	0.489	0.514	0.553	0.561
TIR1-5-0-AAA-R570	1999-08-12	0.479	0.479	0.506	0.523	0.563	0.567
TIR1-5-0-AAA-R570	1999-08-15	0.466	0.466	0.494	0.517	0.568	0.577
TIR1-5-0-AAA-R570	1999-08-17	0.476	0.476	0.503	0.523	0.569	0.579
TIR1-5-0-AAA-R570	1999-08-19	0.478	0.478	0.504	0.525	0.572	0.581
TIR1-5-0-AAA-R570	1999-08-22	0.456	0.456	0.487	0.512	0.558	0.571
TIR1-5-0-AAA-R570	1999-08-24	0.479	0.479	0.504	0.523	0.565	0.571
TIR1-5-0-AAA-R570	1999-08-26	0.478	0.478	0.502	0.522	0.566	0.573
TIR1-5-0-AAA-R570	1999-08-29	0.462	0.462	0.492	0.516	0.563	0.571
TIR1-5-0-AAA-R570	1999-08-31	0.479	0.479	0.504	0.524	0.57	0.578
TIR1-5-0-AAA-R570	1999-09-02	0.463	0.463	0.492	0.517	0.564	0.57
TIR1-5-0-AAA-R570	1999-09-05	0.475	0.475	0.5	0.522	0.566	0.572
TIR1-5-0-AAA-R570	1999-09-07	0.463	0.463	0.491	0.516	0.562	0.568
TIR1-5-0-AAA-R570	1999-09-09	0.451	0.451	0.483	0.51	0.555	0.566
TIR1-5-0-AAA-R570	1999-09-12	0.438	0.438	0.475	0.505	0.549	0.557
TIR1-5-0-AAA-R570	1999-09-16	0.462	0.462	0.492	0.512	0.551	0.558
TIR1-5-0-AAA-R570	1999-09-19	0.446	0.446	0.482	0.507	0.549	0.555
TIR1-5-0-AAA-R570	1999-09-21	0.441	0.441	0.478	0.506	0.547	0.559
TIR1-5-0-AAA-R570	1999-09-23	0.433	0.433	0.472	0.502	0.545	0.554
TIR1-5-0-AAA-R570	1999-09-26	0.418	0.418	0.463	0.498	0.54	0.55
TIR1-5-0-AAA-R570	1999-09-28	0.408	0.408	0.458	0.496	0.539	0.552
TIR1-5-0-AAA-R570	1999-09-30	0.396	0.396	0.448	0.488	0.534	0.545
TIR1-5-0-AAA-R570	1999-10-03	0.386	0.386	0.438	0.484	0.532	0.542
TIR1-5-0-AAA-R570	1999-10-05	0.38	0.38	0.435	0.482	0.528	0.542
TIR1-5-0-AAA-R570	1999-10-07	0.376	0.376	0.429	0.477	0.527	0.538
TIR1-5-0-AAA-R570	1999-10-10	0.425	0.425	0.445	0.48	0.525	0.538
