soilcode	soiltype	nblayer	p0	ru	soildepth
BVI	NA	6	0.5	100	100
BX	NA	4	0.7	100	100
COP2	NA	5	0.7	100	100
COP4	NA	5	0.7	100	100
CTC04	latosol	6	1	1	100
GODET	NA	6	0.5	100	100
LBIR100	Ferralitique	1	0.5	100	100
LPSE	NA	5	0.7	100	100
rbver1	vertisol	1	0.655	145	100
STJEAN	NA	6	0.5	100	100
TIR2	NA	5	0.7	100	100
RU100_100	NA	1	0.5	100	150
RU100_80	NA	1	0.5	100	150
