date	rr	etp	tx	tn	rg	ux	un	vt	tm
01-01-2008	1	3.1	26.7	15.5	14.7925	-999	-999	-999	20.4
02-01-2008	10	2.6	25.7	18.3	12.3525	-999	-999	-999	21.3
03-01-2008	0	3	26.8	19.3	13.8625	-999	-999	-999	22.4
04-01-2008	8.5	4	27.6	17.3	19.1725	-999	-999	-999	21.8
05-01-2008	0	4.3	25.8	15.7	21.0125	-999	-999	-999	20.1
06-01-2008	0	3.7	26.1	16.9	17.9225	-999	-999	-999	20.8
07-01-2008	0	3.8	27.6	18.3	18.1225	-999	-999	-999	22.3
08-01-2008	0	1.9	24.7	18.6	8.7025	-999	-999	-999	21
09-01-2008	15	1.5	22.1	20.1	6.8725	-999	-999	-999	20.4
10-01-2008	0	5.2	28.4	19.8	24.5425	-999	-999	-999	23.4
11-01-2008	0	3.5	27.5	18.9	16.6125	-999	-999	-999	22.5
12-01-2008	0	2	24.8	17.5	9.4325	-999	-999	-999	20.5
13-01-2008	0	3.4	25.8	16.4	16.7625	-999	-999	-999	20.4
14-01-2008	1.5	2.3	25.5	17.5	10.8925	-999	-999	-999	20.8
15-01-2008	3.5	2.7	25.9	16.4	12.9325	-999	-999	-999	20.5
16-01-2008	1.5	3.5	25.7	15.9	16.8925	-999	-999	-999	20.1
17-01-2008	116.5	2.5	26.3	16.8	11.8025	-999	-999	-999	20.9
18-01-2008	43.5	1.8	27.2	17.1	8.3825	-999	-999	-999	21.5
19-01-2008	9	2.6	26.2	17.8	12.3325	-999	-999	-999	21.3
20-01-2008	0	1.8	25.8	18	8.3825	-999	-999	-999	21.2
21-01-2008	0	3.1	25.6	16.6	15.2725	-999	-999	-999	20.4
22-01-2008	0	3.4	28.2	17.3	16.2325	-999	-999	-999	22.1
23-01-2008	0	4.7	28.7	17	22.3125	-999	-999	-999	22.2
24-01-2008	0	3.2	26.5	17.9	15.1825	-999	-999	-999	21.5
25-01-2008	0	3.7	26.5	17.2	17.7725	-999	-999	-999	21.2
26-01-2008	0	3.1	25.3	16.1	15.1025	-999	-999	-999	20
27-01-2008	0	2.5	26.1	16.2	12.1225	-999	-999	-999	20.5
