date	rr	etp	tx	tn	rg	ux	un	vt	tm
01-12-2010	0.6	3.35	30.1	24.1	16.78	-999	-999	-999	26.84
02-12-2010	2.4	3.2	27.2	21.6	15.67	-999	-999	-999	24.25
03-12-2010	0.2	3.34	26.8	21.2	16.75	-999	-999	-999	23.89
04-12-2010	0	3.02	27	21.4	14.3	-999	-999	-999	24.13
05-12-2010	0.2	2.67	27.4	21.8	11.7	-999	-999	-999	24.45
06-12-2010	6.6	2.44	28.3	22.6	10.01	-999	-999	-999	25.3
07-12-2010	51.4	1.94	27.7	22.1	6.27	-999	-999	-999	24.75
08-12-2010	7.6	2.86	28.8	23	13.1	-999	-999	-999	25.68
09-12-2010	3.4	2.88	29.4	23.6	13.31	-999	-999	-999	26.29
10-12-2010	2.4	2.91	28.9	23.1	13.52	-999	-999	-999	25.84
11-12-2010	3	2.72	27.5	21.8	12.09	-999	-999	-999	24.54
12-12-2010	0.4	2.91	27.6	22	13.54	-999	-999	-999	24.68
13-12-2010	0	3.54	28.7	22.9	18.24	-999	-999	-999	25.61
14-12-2010	39.4	2.67	28	22.3	11.73	-999	-999	-999	25.01
15-12-2010	0.2	2.99	27.8	22.1	14.11	-999	-999	-999	24.78
16-12-2010	2.4	2.88	28.1	22.4	13.31	-999	-999	-999	25.06
17-12-2010	2.4	2.95	28.5	22.8	13.82	-999	-999	-999	25.47
18-12-2010	17	2.24	26.8	21.2	8.48	-999	-999	-999	23.93
19-12-2010	3	2.6	27.7	22	11.19	-999	-999	-999	24.71
20-12-2010	5.4	2.65	29.1	23.3	11.59	-999	-999	-999	25.98
21-12-2010	12.8	3.3	29.1	23.3	16.4	-999	-999	-999	25.95
22-12-2010	0.2	2.68	28.3	22.6	11.77	-999	-999	-999	25.29
23-12-2010	8.4	2.32	27.5	21.9	9.12	-999	-999	-999	24.59
24-12-2010	5.2	2.78	27.4	21.8	12.56	-999	-999	-999	24.5
25-12-2010	38	2.17	27	21.5	7.96	-999	-999	-999	24.15
26-12-2010	40	2.42	28.3	22.6	9.84	-999	-999	-999	25.27
27-12-2010	0.4	2.91	28.9	23.1	13.52	-999	-999	-999	25.84
28-12-2010	1.4	3.38	28.3	22.6	17.04	-999	-999	-999	25.25
29-12-2010	5.2	3.04	27.9	22.3	14.47	-999	-999	-999	24.95
30-12-2010	8.8	2.84	27.7	22.1	12.97	-999	-999	-999	24.75
31-12-2010	49.8	2.3	26.2	20.7	8.96	-999	-999	-999	23.43
01-01-2011	0	2.66	26.1	20.6	11.61	-999	-999	-999	23.26
02-01-2011	6.8	2.94	26.3	20.7	13.7	-999	-999	-999	23.44
03-01-2011	45.6	1.98	25.1	19.8	6.6	-999	-999	-999	22.45
04-01-2011	98.8	2.29	26.7	21.1	8.9	-999	-999	-999	23.83
05-01-2011	13.8	2.41	27.5	21.8	9.75	-999	-999	-999	24.54
06-01-2011	9.2	2.57	28	22.3	10.94	-999	-999	-999	25.03
07-01-2011	0	3.06	28.7	22.9	14.61	-999	-999	-999	25.61
08-01-2011	4.4	3.09	28.9	23.1	14.87	-999	-999	-999	25.77
09-01-2011	2.6	2.75	28.9	23.1	12.34	-999	-999	-999	25.81
